"Ign","Team","Agent","Rounds","Wins","Percentage"
"Zerost","BLUE BEES.ESP (ex)","Viper",23,13,"56.52"
"Derialy","FENNEL (ex)","Sova",23,13,"56.52"
"Shao","FunPlus Phoenix (ex)","Fade",460,260,"56.52"
"Derrek","100 Thieves","Breach",23,13,"56.52"
"leaf","Cloud9","Chamber",23,13,"56.52"
"poem","IGZIST","Skye",23,13,"56.52"
"jotinha","SunXet Club (ex)","Killjoy",23,13,"56.52"
"pdr","INGAMING Esports (ex)","Breach",23,13,"56.52"
"vakk","Acend","Sage",23,13,"56.52"
"skrawl","Bonkers(OCE) (ex)","Sova",23,13,"56.52"
"frz","Sharks Esports (ex)","Chamber",23,13,"56.52"
"Lumo","Insomnia (ex)","KAY/O",23,13,"56.52"
"Hoody","G2 Esports (Inactive) (ex)","Jett",23,13,"56.52"
"Duno","Natus Vincere (ex)","Astra",23,13,"56.52"
"Apinya","FW Esports (ex)","Brimstone",23,13,"56.52"
"myssen","Liberty","Sage",23,13,"56.52"
"fenNy","SunXet Club","Jett",23,13,"56.52"
"Brave","SuperMassive (ex)","Breach",23,13,"56.52"
"Meiy","Crazy Raccoon","Raze",23,13,"56.52"
"EndU","Team GP","Killjoy",23,13,"56.52"
"mazin","FURIA","KAY/O",46,26,"56.52"
"W1nner","Griffin E-Sports","Astra",23,13,"56.52"
"Minty","FAV gaming","KAY/O",23,13,"56.52"
"fl1pzjder","BOOM Esports (ex)","KAY/O",69,39,"56.52"
"ExiA","Spear Gaming","Sova",46,26,"56.52"
"FNS","OpTic Gaming (ex)","Sage",62,35,"56.45"
"Felix","HolyMolly (ex)","Omen",39,22,"56.41"
"Nivera","Team Liquid (ex)","Chamber",144,81,"56.25"
"MONSTEERR","Acend (ex)","Cypher",48,27,"56.25"
"crashies","OpTic Gaming (ex)","Fade",89,50,"56.18"
"Marved","OpTic Gaming","Brimstone",387,217,"56.07"
"MOLSI","OG LDN UTD (ex)","Raze",66,37,"56.06"
"ExiA","Spear Gaming","Fade",66,37,"56.06"
"Ethan","NRG Esports (ex)","KAY/O",109,61,"55.96"
"mindfreak","Paper Rex","Brimstone",84,47,"55.95"
"Meddo","G2 Esports (Inactive) (ex)","Viper",59,33,"55.93"
"vow","Team T5 (ex)","Viper",59,33,"55.93"
"TORANECO","Hexad (ex)","Killjoy",34,19,"55.88"
"Brofeld","Hexad (ex)","Reyna",34,19,"55.88"
"bezn1","Ninjas in Pyjamas (ex)","Cypher",342,191,"55.85"
"L1NK","Team Liquid (ex)","Omen",77,43,"55.84"
"neth","Crazy Raccoon","Killjoy",120,67,"55.83"
"JoXJo","NORTHEPTION (ex)","Skye",43,24,"55.81"
"Zerost","BLUE BEES.ESP (ex)","Cypher",43,24,"55.81"
"dgzin","Gamelanders Blue (ex)","Neon",43,24,"55.81"
"trexx","Guild Esports","Jett",43,24,"55.81"
"Russ","Guild Esports (ex)","Breach",43,24,"55.81"
"cauanzin","Ninjas in Pyjamas (ex)","KAY/O",242,135,"55.79"
"crashies","OpTic Gaming (ex)","KAY/O",466,260,"55.79"
"kiNgg","Leviatán","Breach",104,58,"55.77"
"BcJ","XSET (ex)","Skye",226,126,"55.75"
"d3ffo","M3 Champions (ex)","Neon",61,34,"55.74"
"Sacy","LOUD (ex)","Fade",210,117,"55.71"
"oitaN","IGZIST","Chamber",124,69,"55.65"
"nAts","M3 Champions (ex)","Viper",142,79,"55.63"
"nAts","M3 Champions (ex)","Viper",142,79,"55.63"
"AYRIN","XSET (ex)","Astra",63,35,"55.56"
"crow","ZETA DIVISION","Fade",81,45,"55.56"
"vaiZ","Leviatán (ex)","KAY/O",63,35,"55.56"
"THEE","FULL SENSE","Chamber",92,51,"55.43"
"cauanzin","Ninjas in Pyjamas (ex)","Sova",159,88,"55.35"
"Harry","Brimstone (si)","Viper",47,26,"55.32"
"BcJ","XSET (ex)","Fade",47,26,"55.32"
"Shao","FunPlus Phoenix (ex)","Jett",47,26,"55.32"
"10X","Brimstone (si)","Raze",47,26,"55.32"
"Saadhak","LOUD","Chamber",47,26,"55.32"
"SUYGETSU","FunPlus Phoenix (ex)","Sage",387,214,"55.30"
"yay","OpTic Gaming (ex)","Chamber",796,440,"55.28"
"braveaf","FNATIC (ex)","Sova",38,21,"55.26"
"Russ","Guild Esports (ex)","Cypher",38,21,"55.26"
"Rb","DRX","Chamber",76,42,"55.26"
"Esperanza","DAMWON Gaming","Cypher",38,21,"55.26"
"HANN","World Game Star","Neon",277,153,"55.23"
"gtnziN","MIBR (ex)","Sage",67,37,"55.22"
"leaf","Cloud9","Neon",67,37,"55.22"
"Will","100 Thieves (ex)","Raze",154,85,"55.19"
"Rb","DRX","Killjoy",58,32,"55.17"
"stellar","100 Thieves","Sage",272,150,"55.15"
"Zyppan","FunPlus Phoenix (ex)","Raze",292,161,"55.14"
"pyth","Bleed Esports (ex)","Killjoy",176,97,"55.11"
"Asuna","100 Thieves","Fade",49,27,"55.10"
"Moose","Luminosity Gaming (ex)","Sage",49,27,"55.10"
"d3ffo","Gambit Esports (ex)","Jett",69,38,"55.07"
"Alfajer","FNATIC","Raze",178,98,"55.06"
"tehbotol","BOOM Esports (ex)","Astra",80,44,"55.00"
"mitch","Cloud9 (ex)","Chamber",80,44,"55.00"
"Hoody","G2 Esports (Inactive) (ex)","Sage",131,72,"54.96"
"wannafly","Made in Thailand","Chamber",91,50,"54.95"
"Melser","Leviatán (ex)","Astra",202,111,"54.95"
"stellar","100 Thieves","Cypher",182,100,"54.95"
"Minimise","Bonkers(OCE) (ex)","Sage",71,39,"54.93"
"d4v41","Paper Rex","Skye",71,39,"54.93"
"Chronicle","Gambit Esports (ex)","Brimstone",51,28,"54.90"
"sheydos","Gambit Esports (ex)","Sage",51,28,"54.90"
"NoriseN","REJECT (ex)","KAY/O",51,28,"54.90"
"lenne","Bleed Esports (ex)","Sova",133,73,"54.89"
"pr0xy","Spear Gaming (ex)","Killjoy",82,45,"54.88"
"aspas","LOUD","Raze",226,124,"54.87"
"AvovA","G2 Esports (Inactive) (ex)","Astra",188,103,"54.79"
"lukzera","TBK Esports","Omen",84,46,"54.76"
"Lakia","IGZIST (ex)","Skye",42,23,"54.76"
"GodDead","On Sla2ers","Sage",42,23,"54.76"
"Halbae","World Game Star (ex)","Killjoy",42,23,"54.76"
"seven","TSM (ex)","Neon",42,23,"54.76"
"NeruFi","Crest Gaming ZST","Cypher",42,23,"54.76"
"NcSlasher","Onic Esports (ex)","Skye",42,23,"54.76"
"wannafly","Made in Thailand","Viper",126,69,"54.76"
"RHZ","Keyd Stars (si)","Breach",64,35,"54.69"
"Reformed","Evil Geniuses","Skye",64,35,"54.69"
"bnj","Ninjas in Pyjamas (ex)","Omen",64,35,"54.69"
"disk0","ORDER (ex)","Raze",64,35,"54.69"
"iNTRO","DAMWON Gaming (si)","Viper",64,35,"54.69"
"TS","On Sla2ers (ex)","Fade",64,35,"54.69"
"stellar","100 Thieves","KAY/O",64,35,"54.69"
"Chibab","Maru Gaming","Neon",139,76,"54.68"
"Jinggg","Paper Rex","Reyna",214,117,"54.67"
"mindfreak","Paper Rex","Astra",236,129,"54.66"
"zekken","XSET (ex)","Jett",86,47,"54.65"
"poem","IGZIST","KAY/O",119,65,"54.62"
"BcJ","XSET (ex)","Omen",163,89,"54.60"
"foxz","XERXIA Esports (ex)","Skye",174,95,"54.60"
"zekken","XSET (ex)","Raze",174,95,"54.60"
"T3xture","DAMWON Gaming (ex)","Jett",229,125,"54.59"
"ardiis","FunPlus Phoenix (ex)","Jett",185,101,"54.59"
"rubkkoide","PAMPAS (ex)","KAY/O",33,18,"54.55"
"deLb","Alter Ego","Neon",66,36,"54.55"
"Khalil","FURIA","Omen",143,78,"54.55"
"NAOS JA","South Built Esports (ex)","Astra",88,48,"54.55"
"7ssk7","Natus Vincere (ex)","Chamber",121,66,"54.55"
"ScreaM","Team Liquid (ex)","Sage",66,36,"54.55"
"TENNN","ZETA DIVISION","Raze",231,126,"54.55"
"dephh","XSET (ex)","Astra",211,115,"54.50"
"takej","REJECT (ex)","Brimstone",123,67,"54.47"
"mazin","FURIA","Jett",101,55,"54.46"
"Shiro","Onic Esports (ex)","Fade",79,43,"54.43"
"Klaus","KRÜ Esports","Viper",114,62,"54.39"
"Reita","REJECT (ex)","Fade",138,75,"54.35"
"neth","Crazy Raccoon","Brimstone",46,25,"54.35"
"pyth","Bleed Esports (ex)","Breach",46,25,"54.35"
"mwzera","Keyd Stars (ex)","Skye",127,69,"54.33"
"Apoth","Evil Geniuses","Brimstone",35,19,"54.29"
"Mazino","KRÜ Esports (ex)","Sage",94,51,"54.26"
"Rb","DRX","Jett",201,109,"54.23"
"neT","The Guard","Killjoy",262,142,"54.20"
"Boaster","FNATIC","Viper",24,13,"54.17"
"Bonecold","Acend (ex)","Omen",48,26,"54.17"
"Starxo","Acend","Sage",24,13,"54.17"
"bucher","FOKUS (ex)","Killjoy",24,13,"54.17"
"C1nder","SCARZ (ex)","Chamber",24,13,"54.17"
"Sayf","Guild Esports (ex)","Chamber",96,52,"54.17"
"이토히로부비부빗","Team T5 (ex)","Sage",24,13,"54.17"
"TiGG","Luminosity Gaming (ex)","Brimstone",24,13,"54.17"
"Russ","Guild Esports (ex)","KAY/O",24,13,"54.17"
"RHZ","Keyd Stars (ex)","Skye",24,13,"54.17"
"rez1v","Storks Phalanx","Viper",24,13,"54.17"
"dapr","Sentinels (ex)","Cypher",24,13,"54.17"
"Reformed","Evil Geniuses","Sage",24,13,"54.17"
"Reformed","Evil Geniuses","Viper",24,13,"54.17"
"rDeeW","Bonkers(OCE) (ex)","Chamber",48,26,"54.17"
"Rb","DRX","KAY/O",24,13,"54.17"
"Purp0","Acend (si)","Raze",24,13,"54.17"
"DeNaro","MIBR (ex)","Sova",24,13,"54.17"
"DeNaro","MIBR (ex)","Skye",24,13,"54.17"
"pr0xy","Spear Gaming (ex)","Jett",24,13,"54.17"
"dimasick","Team Liquid","Sage",24,13,"54.17"
"Asuna","100 Thieves","Reyna",24,13,"54.17"
"mNdS","MIBR (ex)","Viper",24,13,"54.17"
"Felix","Brimstone (si)","Sage",24,13,"54.17"
"Feniz","E-Xolos LAZER","Raze",24,13,"54.17"
"Witz","Team Secret (ex)","Breach",24,13,"54.17"
"Meteor","NORTHEPTION (ex)","Jett",144,78,"54.17"
"MerRy","Storks Phalanx (ex)","Killjoy",24,13,"54.17"
"artzin","Stars Horizon (ex)","Jett",24,13,"54.17"
"Medusa","REJECT (ex)","Astra",24,13,"54.17"
"flippy","South Built Esports (ex)","Skye",24,13,"54.17"
"ardiis","FunPlus Phoenix (ex)","Sova",24,13,"54.17"
"mada","Luminosity Gaming (ex)","Neon",24,13,"54.17"
"frz","MIBR","Killjoy",24,13,"54.17"
"ANGE1","FunPlus Phoenix (ex)","Killjoy",24,13,"54.17"
"Leo","Guild Esports (ex)","Sage",24,13,"54.17"
"kvzx","NAOS Esports","Skye",24,13,"54.17"
"zeek","Acend (ex)","Raze",24,13,"54.17"
"zeek","Acend (ex)","Omen",24,13,"54.17"
"HANLING","9z Team (ex)","Chamber",24,13,"54.17"
"Kakarot","NAOS Esports","Brimstone",24,13,"54.17"
"zepher","REJECT (ex)","Reyna",24,13,"54.17"
"Zyppan","FunPlus Phoenix (ex)","Reyna",24,13,"54.17"
"jzz","MIBR","Jett",24,13,"54.17"
"Blas","NAOS Esports","Sage",24,13,"54.17"
"Tacolilla","Leviatán","Skye",24,13,"54.17"
"dimasick","Team Liquid","Omen",133,72,"54.14"
"LEXY","Bleed Esports (ex)","Sage",85,46,"54.12"
"TENNN","ZETA DIVISION","KAY/O",122,66,"54.10"
"7ssk7","Natus Vincere (ex)","Jett",98,53,"54.08"
"vanity","Cloud9","Omen",246,133,"54.07"
"Keria","Spear Gaming","Viper",111,60,"54.05"
"Reita","REJECT (ex)","Reyna",37,20,"54.05"
"Medusa","REJECT (ex)","Cypher",37,20,"54.05"
"GODLIKE","World Game Star (ex)","Sage",37,20,"54.05"
"Dreamas","LDN UTD (ex)","Chamber",37,20,"54.05"
"Bazzi","On Sla2ers (ex)","Yoru",174,94,"54.02"
"ANGE1","FunPlus Phoenix (ex)","Omen",400,216,"54.00"
"Quick","FURIA","Killjoy",50,27,"54.00"
"Nozwerr","FURIA (ex)","Sova",50,27,"54.00"
"JoXJo","NORTHEPTION (ex)","KAY/O",50,27,"54.00"
"cNed","Acend (ex)","Reyna",63,34,"53.97"
"s0m","NRG Esports","Sage",63,34,"53.97"
"ChAlalala","FULL SENSE (ex)","Astra",126,68,"53.97"
"Wavy","CNJ Esports","Raze",63,34,"53.97"
"BlackWiz","NORTHEPTION","Astra",128,69,"53.91"
"vaiZ","Leviatán (ex)","Skye",26,14,"53.85"
"iNTRO","DAMWON Gaming (ex)","Chamber",26,14,"53.85"
"Monyet","Onic Esports (ex)","Neon",117,63,"53.85"
"WKN","Meta Gaming (ex)","Astra",52,28,"53.85"
"10X","HolyMolly (ex)","Sage",26,14,"53.85"
"BlackWiz","NORTHEPTION","Brimstone",78,42,"53.85"
"GODLIKE","World Game Star (ex)","Raze",26,14,"53.85"
"bnj","9z Team (si)","Sage",26,14,"53.85"
"tuyz","TBK Esports (ex)","Sage",26,14,"53.85"
"oitaN","IGZIST","Killjoy",26,14,"53.85"
"Hermes","HolyMolly (ex)","Yoru",26,14,"53.85"
"Nivera","Team Liquid (ex)","Breach",52,28,"53.85"
"Xeppaa","Cloud9","Fade",143,77,"53.85"
"KimGyuTae","Desperado","Jett",26,14,"53.85"
"jcStani","100 Thieves (ex)","Omen",26,14,"53.85"
"Lawrence","GoNGo Prince","Sage",26,14,"53.85"
"Lily","EVA:e","Raze",26,14,"53.85"
"Derialy","NORTHEPTION","Neon",78,42,"53.85"
"trexx","Guild Esports","Raze",93,50,"53.76"
"Boaster","FNATIC","KAY/O",93,50,"53.76"
"JonahP","The Guard","Skye",80,43,"53.75"
"bang","100 Thieves","Omen",67,36,"53.73"
"Sayaplayer","The Guard (ex)","Jett",365,196,"53.70"
"Sylvan","World Game Star","Astra",177,95,"53.67"
"Benkai","Paper Rex","Fade",123,66,"53.66"
"sushiboys","XERXIA Esports (ex)","Killjoy",369,198,"53.66"
"BORKUM","Team Secret","Omen",82,44,"53.66"
"d3ffo","M3 Champions (ex)","Jett",69,37,"53.62"
"Shiro","Onic Esports (ex)","Chamber",138,74,"53.62"
"brawk","Ghost Gaming (ex)","Breach",28,15,"53.57"
"Klaus","KRÜ Esports","Fade",56,30,"53.57"
"vanity","Cloud9","KAY/O",28,15,"53.57"
"Khalil","FURIA","Killjoy",84,45,"53.57"
"Lightningfast","Global Esports","KAY/O",28,15,"53.57"
"skillZ","Global Esports","Astra",28,15,"53.57"
"Fross","SunXet Club","Omen",28,15,"53.57"
"v1xen","Keyd Stars (ex)","Viper",28,15,"53.57"
"Alfajer","FNATIC","Neon",43,23,"53.49"
"JonahP","The Guard","Breach",43,23,"53.49"
"Dep","ZETA DIVISION","Neon",86,46,"53.49"
"ryotzz","TBK Esports","Fade",43,23,"53.49"
"sheydos","M3 Champions","Sova",86,46,"53.49"
"Fung3","Griffin E-Sports","Killjoy",43,23,"53.49"
"Kishi","CERBERUS Esports (ex)","Chamber",43,23,"53.49"
"sheydos","M3 Champions (ex)","Sova",86,46,"53.49"
"Mistic","FNATIC (ex)","Viper",43,23,"53.49"
"SUYGETSU","FunPlus Phoenix (ex)","Cypher",232,124,"53.45"
"ScreaM","Team Liquid (ex)","KAY/O",58,31,"53.45"
"LEXY","Bleed Esports (ex)","Breach",148,79,"53.38"
"LEXY","Bleed Esports (ex)","Breach",148,79,"53.38"
"Phantom","FAV gaming","KAY/O",60,32,"53.33"
"LEXY","Bleed Esports (ex)","Skye",60,32,"53.33"
"LEXY","Bleed Esports (ex)","Skye",60,32,"53.33"
"Felix","HolyMolly (ex)","Sova",45,24,"53.33"
"SugarZ3ro","ZETA DIVISION","Viper",30,16,"53.33"
"Sayf","Guild Esports (ex)","Cypher",30,16,"53.33"
"Fung3","Griffin E-Sports","Breach",45,24,"53.33"
"Lmemore","Onic Esports (ex)","Sova",45,24,"53.33"
"baddyG","FunPlus Phoenix (ex)","Omen",30,16,"53.33"
"mada","Luminosity Gaming (ex)","Raze",122,65,"53.28"
"ableJ","FURIA (ex)","KAY/O",139,74,"53.24"
"BerserX","BOOM Esports","Raze",47,25,"53.19"
"Melser","Leviatán (ex)","Omen",47,25,"53.19"
"Puleule","9z Team","Astra",47,25,"53.19"
"crow","ZETA DIVISION","Breach",205,109,"53.17"
"Dep","ZETA DIVISION","Jett",143,76,"53.15"
"Kaminari","Hexad (ex)","Sage",32,17,"53.13"
"aspas","LOUD","Neon",32,17,"53.13"
"vong","FOKUS (ex)","Astra",32,17,"53.13"
"Sayf","Guild Esports (ex)","Killjoy",81,43,"53.09"
"wippie","Version1 (Inactive) (ex)","Sage",49,26,"53.06"
"k1Ng","On Sla2ers (ex)","Killjoy",215,114,"53.02"
"Mistic","FNATIC (ex)","Breach",149,79,"53.02"
"Kadoom","Made in Thailand","Jett",34,18,"52.94"
"neth","Crazy Raccoon","KAY/O",85,45,"52.94"
"deLb","Alter Ego","Raze",34,18,"52.94"
"Kush","Alter Ego","KAY/O",68,36,"52.94"
"NcSlasher","Onic Esports (ex)","KAY/O",174,92,"52.87"
"Mizu","9z Team","Fade",70,37,"52.86"
"Cloud","Natus Vincere (ex)","Skye",70,37,"52.86"
"Shao","FunPlus Phoenix (ex)","Astra",142,75,"52.82"
"koldamenta","Guild Esports","Brimstone",89,47,"52.81"
"ardiis","FunPlus Phoenix (ex)","Chamber",197,104,"52.79"
"s0m","NRG Esports","Yoru",36,19,"52.78"
"Dualing","Storks Phalanx (ex)","Skye",72,38,"52.78"
"Kush","Alter Ego","Fade",72,38,"52.78"
"Redgar","M3 Champions (ex)","KAY/O",72,38,"52.78"
"Redgar","M3 Champions","KAY/O",72,38,"52.78"
"Famouz","BOOM Esports (ex)","KAY/O",36,19,"52.78"
"soulcas","Team Liquid","Neon",127,67,"52.76"
"soulcas","Team Liquid","KAY/O",91,48,"52.75"
"d4v41","Paper Rex","Fade",110,58,"52.73"
"Kongared","Made in Thailand","Skye",129,68,"52.71"
"Nivera","Team Liquid (ex)","Killjoy",74,39,"52.70"
"sushiboys","XERXIA Esports (ex)","Chamber",74,39,"52.70"
"Jonn","Ninjas in Pyjamas (ex)","Jett",167,88,"52.69"
"fl1pzjder","BOOM Esports (ex)","Killjoy",112,59,"52.68"
"Dep","ZETA DIVISION","Sage",150,79,"52.67"
"mazin","FURIA","Sage",95,50,"52.63"
"Boo","OG LDN UTD (ex)","Omen",76,40,"52.63"
"Xandrite","NORTHEPTION (ex)","Astra",38,20,"52.63"
"AvovA","G2 Esports (Inactive) (ex)","Omen",152,80,"52.63"
"mwzera","Keyd Stars (ex)","Raze",310,163,"52.58"
"Exy","DAMWON Gaming","Sage",59,31,"52.54"
"f0rsakeN","Paper Rex","Jett",158,83,"52.53"
"hype","OG LDN UTD (ex)","Sage",40,21,"52.50"
"sushiboys","XERXIA Esports (ex)","Cypher",164,86,"52.44"
"WIX","Maru Gaming (ex)","KAY/O",164,86,"52.44"
"nAts","M3 Champions (ex)","Cypher",166,87,"52.41"
"nAts","M3 Champions (ex)","Cypher",166,87,"52.41"
"AYRIN","XSET (ex)","Killjoy",147,77,"52.38"
"Less","LOUD","Viper",151,79,"52.32"
"eeiu","NRG Esports (ex)","Sova",65,34,"52.31"
"BABYBAY","FaZe Clan","Neon",371,194,"52.29"
"Cryocells","XSET (ex)","Jett",241,126,"52.28"
"Mistic","FNATIC (ex)","Astra",44,23,"52.27"
"JonahP","The Guard","Sage",157,82,"52.23"
"HANN","World Game Star","Chamber",115,60,"52.17"
"Dep","ZETA DIVISION","Fade",46,24,"52.17"
"tehbotol","BOOM Esports (ex)","Breach",92,48,"52.17"
"Sylvan","World Game Star","Brimstone",46,24,"52.17"
"Keria","Spear Gaming","KAY/O",46,24,"52.17"
"poised","FaZe Clan","KAY/O",282,147,"52.13"
"Victor","OpTic Gaming (ex)","Neon",610,318,"52.13"
"Jady","Natus Vincere (ex)","KAY/O",142,74,"52.11"
"Ssun","Spear Gaming (ex)","Jett",144,75,"52.08"
"dazzLe","Luminosity Gaming (ex)","Sage",48,25,"52.08"
"Swee","IXA","Jett",48,25,"52.08"
"vaiZ","Leviatán (ex)","Killjoy",98,51,"52.04"
"Delend","Made in Thailand (ex)","Astra",100,52,"52.00"
"matheuzin","TBK Esports","Viper",154,80,"51.95"
"maxie","Bleed Esports (ex)","Omen",314,163,"51.91"
"Melser","Leviatán (ex)","Brimstone",54,28,"51.85"
"Benkai","Paper Rex","Cypher",303,157,"51.82"
"Shao","FunPlus Phoenix (ex)","Sova",139,72,"51.80"
"Bangnan","Team T5 (ex)","Jett",29,15,"51.72"
"dephh","XSET (ex)","Breach",118,61,"51.69"
"Jonn","Ninjas in Pyjamas (ex)","Sage",120,62,"51.67"
"godko","Desperado (ex)","Sova",60,31,"51.67"
"NiSMO","Ghost Gaming (ex)","KAY/O",151,78,"51.66"
"Jonn","Ninjas in Pyjamas (ex)","KAY/O",91,47,"51.65"
"zennakukinn","BLUE BEES.ESP (ex)","Skye",91,47,"51.65"
"JhoW","Keyd Stars (ex)","Killjoy",91,47,"51.65"
"ANGE1","FunPlus Phoenix (ex)","Fade",153,79,"51.63"
"HANN","World Game Star","Jett",62,32,"51.61"
"kon4n","TBK Esports (ex)","Raze",62,32,"51.61"
"B4nnba","Pentagon","Chamber",93,48,"51.61"
"Rainy","Griffin E-Sports","Skye",62,32,"51.61"
"keznit","KRÜ Esports (ex)","Raze",161,83,"51.55"
"xand","Ninjas in Pyjamas (ex)","Chamber",66,34,"51.52"
"krain","Liberty","Sova",33,17,"51.52"
"dinkzj","Natus Vincere (ex)","Killjoy",101,52,"51.49"
"DubsteP","Team Secret","Jett",134,69,"51.49"
"JonahP","The Guard","Brimstone",68,35,"51.47"
"ScreaM","Team Liquid (ex)","Phoenix",171,88,"51.46"
"Jeong Hi","Maru Gaming (ex)","Brimstone",103,53,"51.46"
"Jamppi","Team Liquid","Chamber",243,125,"51.44"
"Victor","OpTic Gaming (ex)","KAY/O",255,131,"51.37"
"Benecia","CNJ Esports","Omen",76,39,"51.32"
"ryotzz","TBK Esports","Sova",76,39,"51.32"
"tex","NRG Esports (ex)","Sage",39,20,"51.28"
"Boaster","FNATIC","Astra",156,80,"51.28"
"frostmind","BOOM Esports (ex)","Killjoy",39,20,"51.28"
"Hate","Jadeite (ex)","Chamber",39,20,"51.28"
"MONSTEERR","Acend (ex)","Viper",39,20,"51.28"
"Shyy","Leviatán","Fade",82,42,"51.22"
"vickt0r","Movistar Optix","Viper",41,21,"51.22"
"Sacy","LOUD (ex)","Breach",82,42,"51.22"
"pleets","Los Grandes","Astra",125,64,"51.20"
"ChAlalala","FULL SENSE (ex)","Chamber",43,22,"51.16"
"dapr","Sentinels (ex)","Chamber",43,22,"51.16"
"Jady","M3 Champions","Skye",43,22,"51.16"
"adverso","Leviatán (ex)","Sage",43,22,"51.16"
"sheydos","M3 Champions (ex)","Sage",262,134,"51.15"
"sheydos","M3 Champions","Sage",262,134,"51.15"
"neptune","Rise (ex)","KAY/O",90,46,"51.11"
"Saadhak","LOUD","Viper",45,23,"51.11"
"Alfajer","FNATIC","Viper",45,23,"51.11"
"axeLuvY","Alter Ego (ex)","Brimstone",135,69,"51.11"
"hellff","Velocity Gaming","Chamber",47,24,"51.06"
"shion","Liberty (ex)","Breach",47,24,"51.06"
