"Ign","Team","Headshot %","Bodyshot %","Legshot %","Matches"
"KAMEReon","AWS (ex)","42.85","51.42","5.71",2
"Maru","Mariner","42.50","50.00","7.50",2
"MqsaaV","Mariner","41.66","53.33","5.00",2
"Redgar","Gambit Esports (ex)","41.04","55.49","3.46",5
"TenzouEz","DeToNator (ex)","40.60","55.63","3.75",3
"SamuraiDeeper","REJECT (si)","40.54","54.05","5.40",1
"GwangUh","Tartarus (si)","40.35","50.87","8.77",2
"aproto","Ghost Gaming (ex)","39.77","55.83","4.39",15
"Pa1n","Focus e-Sports","39.39","54.54","6.06",2
"Jemkin","Crest Gaming ZST (ex)","39.33","58.55","2.10",7
"Mizu","9z Team","39.10","56.14","4.75",37
"sakurai","Hexad (ex)","38.94","57.21","3.84",6
"sakurai","REJECT (si)","38.88","61.11","0.00",1
"SEIDER","FunPlus Phoenix (si)","37.83","57.09","5.06",10
"pouoxo","TRIDENT (ex)","37.25","60.78","1.96",2
"Hate","DAMWON Gaming (ex)","36.71","57.77","5.50",28
"bang","100 Thieves","36.29","60.27","3.42",50
"Bangnan","DAMWON Gaming (ex)","35.95","54.77","9.27",28
"arm1e","EVA:e (ex)","35.84","59.43","4.71",3
"ClarK","World Game Star (ex)","35.80","55.55","8.64",5
"Leo","SYSTEM e-Sports","35.71","64.28","0.00",2
"Sk9Na","Team GP (ex)","35.46","59.88","4.65",6
"iluri","FOKUS (ex)","35.38","61.17","3.43",12
"Exy","DAMWON Gaming","35.33","60.47","4.18",58
"takej","Crest Gaming ZST (si)","35.29","62.74","1.96",1
"shroud","Sentinels","35.20","61.37","3.42",8
"JinboongE","Brimstone (ex)","35.13","59.79","5.06",7
"stax","DRX","35.12","57.84","7.03",91
"ParkJJong","Tartarus (si)","34.56","62.96","2.46",2
"DEATHMAKER","Velocity Gaming","34.55","63.41","2.03",6
"invy","Oasis Gaming (ex)","34.53","58.99","6.47",4
"pANcada","LOUD (ex)","34.52","62.70","2.77",67
"Bangnan","Team T5 (ex)","34.35","59.22","6.42",22
"dimasick","Team Liquid","34.32","60.80","4.87",26
"zunba","On Sla2ers (si)","34.24","60.27","5.47",6
"B1ngSu","Veronica7","34.22","61.07","4.69",5
"ZONBee","GyoGun","34.14","58.53","7.31",2
"Esperanza","DAMWON Gaming","34.11","61.17","4.71",58
"Flax","Hexad (ex)","34.06","59.34","6.59",6
"myssen","Liberty","34.02","60.97","5.00",20
"Reita","Crest Gaming ZST (si)","33.92","62.50","3.57",1
"NANZIN","INGAMING Esports (ex)","33.85","58.62","7.52",9
"tex","NRG Esports (ex)","33.71","61.37","4.90",39
"NANZIN","Stars Horizon","33.64","61.75","4.60",8
"Purp0","Acend (si)","33.62","53.98","12.38",3
"Wenty","GoNGo Prince (ex)","33.55","63.42","3.02",7
"Derrek","100 Thieves","33.49","61.71","4.78",42
"alyaL","CERBERUS Esports (ex)","33.33","61.90","4.76",7
"Xiaonuo","DeToNator","33.33","61.36","5.30",3
"YaBoiDre","Evil Geniuses (ex)","33.25","61.38","5.35",12
"Derrek","Rise (ex)","33.02","60.96","6.00",12
"GOLD","Desperado (ex)","32.99","63.97","3.03",15
"iNTRO","DAMWON Gaming (ex)","32.98","64.94","2.06",8
"Haodong","EDward Gaming","32.96","59.89","7.14",5
"H1K","SchwarzerLand","32.89","61.84","5.26",2
"SUYGETSU","FunPlus Phoenix (ex)","32.79","61.39","5.80",85
"JitboyS","FW Esports (ex)","32.78","65.56","1.65",5
"Akame","K2 eSports (ex)","32.69","62.50","4.80",2
"pdr","INGAMING Esports (ex)","32.65","62.42","4.91",9
"Lmemore","Onic Esports (ex)","32.63","63.08","4.28",38
"Redgar","M3 Champions","32.54","60.76","6.69",47
"Suggest","DetonatioN Gaming White (ex)","32.40","58.33","9.25",4
"reooooo","Rebellion Arts","32.39","64.78","2.81",2
"supamen","FaZe Clan","32.36","63.32","4.30",37
"GLAB zey","NAOS Esports (ex)","32.35","66.17","1.47",2
"L1NK","Team Liquid (ex)","32.35","62.23","5.40",38
"WRONSKI","ORDER (ex)","32.31","63.09","4.59",16
"takej","REJECT (ex)","32.28","61.10","6.61",31
"bmVz","Fancy United Esports (ex)","32.27","61.59","6.13",12
"sakurai","Crest Gaming ZST (ex)","32.25","64.51","3.22",2
"Bonecold","Acend (ex)","32.19","58.50","9.29",13
"gMd","TSM (ex)","32.18","61.53","6.27",10
"coco","Oasis Gaming","32.12","60.00","7.87",4
"heat","Keyd Stars (ex)","32.09","62.80","5.10",60
"rion","Crazy Raccoon","32.01","65.23","2.75",14
"KuuKai","Crest Gaming ZST (ex)","32.01","64.02","3.95",7
"SSeeS","DetonatioN Gaming White (ex)","32.00","64.00","4.00",3
"Wenty","Tartarus (ex)","31.98","64.39","3.62",14
"Hate","Jadeite (ex)","31.95","58.76","9.27",4
"Frosty","Knights (ex)","31.85","63.52","4.62",17
"deigara","9z Team","31.85","62.17","5.96",39
"Redgar","M3 Champions (ex)","31.84","60.90","7.24",34
"pr0xy","Spear Gaming (ex)","31.83","64.54","3.61",30
"skuba","Knights (ex)","31.79","63.87","4.33",17
"Smoggy","EDward Gaming","31.78","63.56","4.65",3
"YaBoiLewis","FOKUS","31.74","60.04","8.20",12
"pho","Evil Geniuses (ex)","31.65","62.84","5.50",12
"BP","Veronica7","31.60","60.34","8.04",5
"Russ","Guild Esports (ex)","31.59","60.87","7.52",47
"Brave","SuperMassive (ex)","31.49","66.05","2.45",11
"olzerr","PAMPAS (ex)","31.45","63.42","5.11",11
"Jady","M3 Champions","31.39","65.81","2.79",12
"ParkJJong","Tartarus (ex)","31.39","64.34","4.26",14
"trent","The Guard","31.23","62.34","6.41",55
"JinboongE","HolyMolly (ex)","31.19","59.91","8.88",26
"SiuFatBB","Griffin E-Sports","31.14","65.78","3.07",16
"nAts","M3 Champions (ex)","31.02","64.40","4.57",47
"Fung3","Griffin E-Sports","31.01","63.84","5.14",16
"GangPin","Sengoku Gaming (ex)","30.98","65.49","3.52",7
"K1LLERS","Fancy United Esports (ex)","30.93","58.99","10.07",4
"Kant","VPZ (ex)","30.92","61.18","7.89",4
"LOB","FAV gaming","30.89","65.38","3.71",23
"ringring","CNJ Esports","30.86","63.91","5.21",6
"D1E","Meta Gaming (ex)","30.85","65.15","3.98",10
"NoriseN","REJECT (ex)","30.82","65.03","4.14",21
"iNTRO","DAMWON Gaming (si)","30.73","63.92","5.33",22
"ScreaM","Team Liquid (ex)","30.61","64.26","5.11",75
"Luke","World Game Star","30.60","63.96","5.42",54
"Turko","BBL Esports","30.57","67.04","2.37",24
"xeta","Cloud9 (si)","30.52","65.26","4.21",2
"frostmind","BOOM Esports (ex)","30.50","66.98","2.51",27
"Twinte","looking for a name (ex)","30.43","65.21","4.34",2
"Poach","FaZe Clan (ex)","30.43","59.42","10.14",2
"ANGE1","FunPlus Phoenix (ex)","30.42","62.55","7.01",85
"azys","South Built Esports (ex)","30.32","65.93","3.73",11
"Zest","DRX","30.31","62.15","7.52",91
"neT","The Guard","30.29","65.76","3.93",55
"SoGaTe","Tartarus (si)","30.26","67.10","2.63",2
"Delend","Made in Thailand (ex)","30.23","65.51","4.25",17
"supamen","Rise (ex)","30.21","65.40","4.37",12
"SoGaTe","Team GP (ex)","30.15","66.13","3.70",6
"CyderX","SuperMassive (ex)","30.13","62.19","7.67",11
"Harry","Brimstone (si)","30.10","65.59","4.30",7
"Apoth","Evil Geniuses","30.09","63.36","6.53",23
"EROC","EVA:e (ex)","30.08","64.22","5.69",3
"Rabbet","Rex Regum Qeon","30.07","62.40","7.51",7
"Myself","AWS","30.00","68.00","2.00",2
"NoriseN","Crest Gaming ZST (si)","30.00","63.33","6.66",1
"koalanoob","Ghost Gaming (ex)","29.96","66.60","3.43",15
"ParkJJong","Team GP (ex)","29.95","67.28","2.76",6
"Marved","OpTic Gaming","29.95","63.44","6.59",111
"Vici","Sengoku Gaming","29.92","63.77","6.29",4
"L1NK","Acend (ex)","29.91","64.10","5.98",6
"prozin","Sharks Esports","29.91","57.41","12.66",9
"UmiNtyU","Mariner","29.85","67.16","2.98",2
"WIX","Maru Gaming (ex)","29.85","62.02","8.11",58
"Peloncito","E-Xolos LAZER","29.84","66.34","3.80",9
"Rico","EVA:e (ex)","29.83","70.16","0.00",3
"Dualing","Storks Phalanx (ex)","29.83","64.91","5.24",4
"Wild0reoo","Oasis Gaming","29.83","62.09","8.06",4
"Lumo","Insomnia (ex)","29.77","61.06","9.16",3
"こころん","looking for a name","29.76","63.09","7.14",2
"sickLy","FUSION","29.72","67.56","2.70",2
"Foxy9","Reignite (ex)","29.68","61.91","8.39",10
"DippER","VPZ (ex)","29.67","65.16","5.16",4
"k1Ng","On Sla2ers (ex)","29.65","66.48","3.86",49
"mindfreak","Paper Rex","29.64","64.88","5.47",61
"GOLD","Desperado (si)","29.64","64.82","5.53",6
"RHZ","Keyd Stars (si)","29.60","58.10","12.29",6
"Junseo","Next eSports","29.56","66.95","3.47",3
"jcStani","100 Thieves (ex)","29.54","65.34","5.11",8
"dgzin","FURIA","29.53","65.00","5.45",15
"braveaf","FNATIC (ex)","29.52","64.19","6.27",20
"Shao","FunPlus Phoenix (ex)","29.48","65.33","5.17",95
"Paint","Insomnia (ex)","29.47","70.52","0.00",3
"kobra","Sengoku Gaming (ex)","29.43","66.22","4.34",7
"ExiA","Spear Gaming","29.33","65.32","5.34",23
"Nivera","Team Liquid (ex)","29.33","64.38","6.28",75
"Den2","Spear Gaming (ex)","29.31","62.50","8.18",7
"frz","Sharks Esports (ex)","29.25","67.86","2.87",9
"Subroza","TSM (ex)","29.23","63.34","7.41",10
"Valll","Focus e-Sports (ex)","29.16","65.27","5.55",2
"corey","TSM (ex)","29.12","67.71","3.15",10
"AsLanM4shadoW","BBL Esports","29.11","63.80","7.08",26
"zennakukinn","BLUE BEES.ESP (ex)","29.04","65.07","5.87",13
"JohnOlsen","FULL SENSE","29.02","66.85","4.11",11
"Boo","LDN UTD (ex)","29.01","60.69","10.28",12
"killua","FW Esports","28.98","65.70","5.31",5
"BabyJ","100 Thieves (ex)","28.92","68.62","2.45",5
"dicey","FaZe Clan","28.91","68.21","2.87",37
"Derialy","FENNEL (ex)","28.85","64.76","6.37",7
"大西大和","SETOUCHI ENLIFE (ex)","28.84","59.61","11.53",2
"pyth","Bleed Esports (ex)","28.83","65.60","5.55",37
"nobody","EDward Gaming","28.80","66.84","4.34",5
"Brofeld","Hexad (ex)","28.80","65.84","5.34",6
"aimDLL","BBL Esports","28.80","63.00","8.19",26
"shura","Focus e-Sports","28.78","69.69","1.51",2
"AslaN","BIG (ex)","28.78","64.01","7.19",25
"Life","EDward Gaming (ex)","28.75","70.00","1.25",2
"bucher","FOKUS (ex)","28.75","69.37","1.87",12
"THEE","FULL SENSE","28.72","68.97","2.30",11
"Cloud","Natus Vincere (ex)","28.72","66.77","4.49",35
"shelbyN","EBRO Gaming (ex)","28.72","65.69","5.58",11
"DaeGi","Tartarus (ex)","28.67","66.95","4.37",14
"Fantasy","Team T5","28.62","67.12","4.25",16
"AvovA","G2 Esports (Inactive) (ex)","28.62","64.35","7.01",57
"Sylvan","World Game Star","28.57","65.79","5.62",59
"Moose","Shopify Rebellion","28.57","62.94","8.48",4
"AztKk","FUSION (ex)","28.57","60.20","11.22",4
"Obnoks","BIG (ex)","28.55","66.09","5.34",25
"Boo","OG LDN UTD (ex)","28.54","65.68","5.77",21
"YESicaN","Fancy United Esports","28.51","63.70","7.77",17
"Amaterasu","Velocity Gaming","28.51","60.00","11.48",6
"vow","Team T5 (ex)","28.49","66.96","4.54",22
"SugarZ3ro","ZETA DIVISION","28.48","65.36","6.15",63
"Eugene","DAMWON Gaming","28.43","65.40","6.16",5
"fl1pzjder","BOOM Esports (ex)","28.39","65.86","5.73",45
"GwangUh","Maru Gaming (ex)","28.37","64.56","7.06",26
"TiGG","Shopify Rebellion (ex)","28.35","67.52","4.12",4
"Kishi","CERBERUS Esports (ex)","28.35","65.83","5.80",15
"CHICHOO","EDward Gaming","28.28","65.15","6.56",5
"Medusa","Crest Gaming ZST (si)","28.26","69.56","2.17",1
"Jady","Natus Vincere (ex)","28.26","59.21","12.52",13
"Harry","HolyMolly","28.25","66.93","4.81",26
"v1xen","Ninjas in Pyjamas (si)","28.24","67.79","3.95",8
"Fross","SunXet Club","28.23","63.33","8.43",11
"hazed","NRG Esports (ex)","28.22","65.70","6.06",39
"adrnking","Alter Ego","28.19","64.62","7.18",22
"Mistic","FNATIC (ex)","28.15","66.04","5.80",69
"2KY","SchwarzerLand","28.12","64.06","7.81",2
"HANLING","9z Team (ex)","28.12","63.82","8.04",32
"Sơn KeKe","Fancy United Esports (ex)","28.10","68.60","3.29",12
"tixx","Bonkers(OCE) (ex)","28.10","65.42","6.46",8
"DeNaro","MIBR (ex)","28.05","66.66","5.27",17
"Suka","Fancy United Esports (ex)","28.05","66.54","5.39",5
"soulcas","Team Liquid","28.03","65.58","6.37",75
"Purp0","M3 Champions (ex)","28.00","72.00","0.00",1
"musashi","BIG (ex)","28.00","66.27","5.71",12
"maxie","Bleed Esports (ex)","27.96","66.17","5.85",37
"blaZek1ng","BOOM Esports","27.95","65.41","6.62",45
"Brofeld","Jadeite","27.94","69.70","2.35",8
"Hiko","100 Thieves (ex)","27.92","67.35","4.72",13
"Hyzee","Fancy United Esports (ex)","27.92","66.36","5.70",17
"Vera","No Namers (ex)","27.89","68.24","3.86",5
"mazin","FURIA","27.89","67.88","4.21",49
"KadosuK","GyoGun (ex)","27.86","67.21","4.91",2
"jotinha","SunXet Club (ex)","27.84","63.92","8.22",11
"T3xture","DAMWON Gaming (ex)","27.79","67.68","4.52",56
"XiSTOU","SuperMassive (ex)","27.76","68.61","3.62",11
"Moothie","CNJ Esports (ex)","27.76","67.52","4.70",18
"pAura","BBL Esports (ex)","27.76","66.36","5.86",22
"BlackWiz","NORTHEPTION","27.73","66.40","5.86",40
"EndU","Team GP","27.69","66.76","5.53",6
"Moves","Team T5 (ex)","27.66","66.22","6.11",22
"NoMan","Oblivion Force (ex)","27.65","68.61","3.72",4
"Estrella","Desperado (ex)","27.63","67.76","4.60",5
"MuuShock","Rebellion Arts","27.63","59.21","13.15",2
"Envy","FENNEL (ex)","27.62","66.06","6.30",7
"flippy","South Built Esports (ex)","27.61","67.16","5.22",10
"GODLIKE","World Game Star (ex)","27.61","63.60","8.78",57
"f0rsakeN","Paper Rex","27.59","66.42","5.98",61
"JessieVash","Team Secret","27.57","66.38","6.04",27
"PADO","Veronica7 (ex)","27.54","68.26","4.19",5
"Kiuuuu","Oblivion Force","27.51","68.12","4.36",4
"Jan","Next eSports","27.48","61.83","10.68",3
"B4nnba","Pentagon","27.47","68.13","4.39",5
"zunba","On Sla2ers (ex)","27.46","66.65","5.88",49
"kvzx","NAOS Esports","27.44","68.37","4.18",6
"Alfajer","FNATIC","27.43","68.53","4.03",45
"LEXY","Bleed Esports (si)","27.39","62.32","10.27",3
"ban","Knights (ex)","27.38","69.48","3.12",17
"pippi","Rebellion Arts","27.38","67.85","4.76",2
"NicoMachine","Meta Gaming (ex)","27.38","62.85","9.76",10
"Shyy","Leviatán","27.32","65.77","6.89",36
"Killer0714","DetonatioN Gaming White","27.32","63.37","9.30",4
"v1nNy","Gamelanders Blue (ex)","27.27","68.08","4.64",15
"flyuh","FaZe Clan (ex)","27.24","66.61","6.13",35
"cNed","Acend (ex)","27.22","66.64","6.13",37
"Addicted","Sharks Esports (ex)","27.21","68.19","4.59",9
"Genghsta","Knights (ex)","27.21","67.36","5.41",17
"hatty","ややーず (ex)","27.19","50.87","21.92",2
"Jonn","Ninjas in Pyjamas (ex)","27.16","66.12","6.70",66
"Texta","ORDER (ex)","27.15","64.23","8.61",16
"fenNy","SunXet Club","27.11","67.31","5.56",11
"SeolHo","Spear Gaming (ex)","27.10","59.81","13.08",7
"Darker","FUSION","27.08","70.13","2.77",4
"Zyppan","FunPlus Phoenix (ex)","27.05","66.75","6.19",95
"mada","Shopify Rebellion","27.04","67.21","5.73",4
"Vibhor","Velocity Gaming (ex)","27.00","67.33","5.66",6
"kobra","REJECT (si)","26.98","63.49","9.52",1
"Medusa","REJECT (ex)","26.96","68.39","4.64",31
"iRdy","World Game Star","26.96","68.15","4.88",59
"Kei","looking for a name","26.95","60.86","12.17",2
"Destrian","LDN UTD (ex)","26.93","64.22","8.83",12
"prince","Los Grandes (ex)","26.89","68.43","4.67",19
"munghoon","VPZ","26.89","64.82","8.27",4
"luckeRRR","BIG (ex)","26.87","64.23","8.88",12
"Sacy","LOUD (ex)","26.86","67.40","5.72",67
"Luna","IXA","26.85","67.35","5.78",5
"HellrangeR","Global Esports","26.82","67.68","5.48",5
"eeiu","NRG Esports (ex)","26.82","67.04","6.13",39
"flainzz","Stars Horizon","26.82","66.55","6.62",8
"bnj","Ninjas in Pyjamas (ex)","26.81","67.85","5.33",34
"Dep","ZETA DIVISION","26.81","66.83","6.34",63
"skrawl","Bonkers(OCE) (ex)","26.77","67.79","5.42",8
"tehbotol","BOOM Esports (ex)","26.77","67.44","5.78",45
"sheydos","Gambit Esports (ex)","26.76","65.79","7.43",5
"Knight","Pentagon","26.71","67.14","6.13",5
"Boostio","Evil Geniuses","26.69","68.36","4.94",35
"MOLSI","OG LDN UTD (ex)","26.69","66.15","7.14",21
"MONSTEERR","Acend (ex)","26.68","68.43","4.87",24
"hiyokomaru","SYSTEM e-Sports","26.66","68.88","4.44",2
"Melser","Leviatán (ex)","26.66","67.17","6.15",71
"oikou","GyoGun (ex)","26.66","66.66","6.66",2
"kiles","Acend (ex)","26.65","68.24","5.10",13
"W1nner","Griffin E-Sports","26.64","67.07","6.27",16
"rubkkoide","PAMPAS (ex)","26.63","62.29","11.06",11
"Hoody","G2 Esports (Inactive) (ex)","26.61","66.26","7.11",57
"nAts","Gambit Esports (ex)","26.59","69.14","4.25",5
"Num","AWS (ex)","26.56","59.37","14.06",2
"oitaN","IGZIST","26.53","68.25","5.21",19
"Suke","SYSTEM e-Sports","26.53","53.06","20.40",2
"sheydos","M3 Champions","26.52","66.84","6.63",47
"Kaminari","Hexad (ex)","26.48","64.84","8.67",6
"Marmelo","Jadeite","26.47","68.38","5.14",4
"LAMMYSNAX","FULL SENSE (ex)","26.43","69.19","4.36",11
"Apinya","FW Esports (ex)","26.43","68.28","5.28",5
"mNdS","MIBR (ex)","26.41","69.29","4.28",17
"axeLuvY","Alter Ego (ex)","26.40","65.47","8.11",22
"xnfri","NORTHEPTION (ex)","26.38","66.94","6.67",40
"Glovee","SuperMassive (ex)","26.35","67.79","5.85",11
"K1llgrave","DeToNator (ex)","26.34","70.05","3.59",3
"Derke","FNATIC","26.34","69.52","4.12",65
"Zander","Version1 (Inactive) (ex)","26.34","67.59","6.06",21
"Brinks","Gamelanders Blue (si)","26.31","65.78","7.89",9
"Kr1stal","BLUE BEES.ESP (ex)","26.27","66.49","7.23",13
"NAOS JA","South Built Esports (ex)","26.26","70.10","3.63",11
"jzz","MIBR","26.25","68.41","5.33",17
"Daveeys","E-Xolos LAZER (ex)","26.25","68.28","5.46",16
"DaeGi","Team GP (ex)","26.22","68.44","5.33",6
"Dszera","Team Vikings (ex)","26.22","64.34","9.42",9
"Anker","Jadeite (ex)","26.20","67.33","6.45",12
"vong","FOKUS (ex)","26.18","71.03","2.78",12
"swag","Team Vikings (ex)","26.17","67.56","6.26",9
"TS","On Sla2ers (ex)","26.16","69.83","3.99",49
"Muj","BBL Esports (ex)","26.15","70.76","3.07",2
"jEEE","NAOS Esports","26.08","70.75","3.16",6
"Toto","GyoGun","26.08","65.21","8.69",2
"GwangUh","Tartarus (ex)","26.05","65.26","8.68",14
"vakk","Acend","26.04","69.06","4.89",24
"HaReeee","REJECT (ex)","26.04","66.92","7.03",10
"SungJin","Spear Gaming (ex)","26.04","64.86","9.09",23
"BuZz","DRX","26.02","68.35","5.62",91
"Anna","Next eSports (ex)","26.02","67.12","6.84",2
"v1xen","Ninjas in Pyjamas (ex)","26.00","68.49","5.49",24
"Lightningfast","Global Esports","25.99","68.80","5.19",5
"Fisker","FAV gaming (ex)","25.99","68.60","5.39",23
"dgzin","Gamelanders Blue (ex)","25.98","70.35","3.65",24
"10X","HolyMolly (ex)","25.97","66.25","7.77",26
"JonahP","The Guard","25.93","67.55","6.50",55
"skillZ","Global Esports","25.86","70.27","3.86",5
"YRSelect","Griffin E-Sports (si)","25.83","69.85","4.30",16
"Holbreak","EBRO Gaming (ex)","25.82","69.97","4.19",11
"SoGaTe","Tartarus (ex)","25.78","67.04","7.17",14
"rez1v","Storks Phalanx","25.77","65.46","8.76",4
"Yso","TRIDENT (ex)","25.75","72.72","1.51",2
"adverso","Leviatán (ex)","25.74","68.43","5.82",71
"Redneval","CERBERUS Esports (ex)","25.74","67.36","6.88",8
"Lawrence","GoNGo Prince","25.73","67.83","6.43",7
"bazz","FAV gaming","25.72","67.31","6.96",23
"CLZ","FENNEL","25.72","66.74","7.52",7
"Jamppi","Team Liquid","25.70","68.96","5.32",75
"Sayaplayer","The Guard (ex)","25.68","68.79","5.51",55
"Ludens","K2 eSports (ex)","25.67","67.56","6.75",2
"Swee","IXA","25.65","70.15","4.18",5
"Sayf","Guild Esports (ex)","25.64","69.41","4.94",54
"Pooky","CNJ Esports (ex)","25.64","69.23","5.12",6
"10X","Brimstone (si)","25.62","67.81","6.56",7
"wyz","FUSION","25.61","62.19","12.19",14
"tuyz","TBK Esports (ex)","25.59","70.10","4.30",38
"Mited","FUSION","25.59","67.51","6.88",14
"Kongared","Made in Thailand","25.59","65.45","8.94",28
"Dobsha","E-Xolos LAZER (ex)","25.56","70.55","3.88",7
"Munchkin","Crazy Raccoon (ex)","25.55","69.69","4.75",26
"DubsteP","Team Secret","25.55","67.54","6.89",27
"gio","Movistar Optix","25.55","66.51","7.92",27
"RIPablo","IGZIST","25.54","70.12","4.33",19
"s0m","NRG Esports","25.53","69.76","4.69",39
"badsitoww","Meta Gaming (ex)","25.53","64.43","10.02",10
"Nexi","Rex Regum Qeon (ex)","25.52","68.68","5.78",8
"k1Ng","On Sla2ers (si)","25.49","70.19","4.31",6
"d4v41","Paper Rex","25.46","67.84","6.69",61
"Reita","REJECT (ex)","25.46","67.41","7.11",31
"Nizzy","Fancy United Esports","25.44","70.67","3.88",5
"Nyang","Gamelanders Blue","25.39","68.22","6.37",24
"AcMe","Veronica7","25.37","67.16","7.46",5
"dephh","XSET (ex)","25.37","66.46","8.16",66
"Quick","FURIA","25.33","69.32","5.34",49
"Delz1k","KRÜ Esports (ex)","25.33","68.89","5.77",73
"thiefy","Sengoku Gaming (ex)","25.29","70.63","4.06",7
"Kush","Alter Ego","25.28","69.10","5.60",22
"vickt0r","Movistar Optix","25.27","66.51","8.21",27
"ZmjjKK","EDward Gaming","25.25","73.73","1.01",5
"JoXJo","NORTHEPTION (ex)","25.23","66.18","8.58",40
"Feniz","E-Xolos LAZER","25.22","70.29","4.47",16
"Puleule","9z Team","25.18","68.17","6.64",39
"Meddo","G2 Esports (Inactive) (ex)","25.17","70.01","4.81",57
"flainzz","INGAMING Esports (ex)","25.17","69.35","5.46",9
"Lakia","IGZIST (ex)","25.14","68.22","6.62",19
"sheydos","M3 Champions (ex)","25.12","68.23","6.63",34
"RyZzi","Desperado (ex)","25.10","68.51","6.38",21
