"Ign","Team","Damage"
"yay","OpTic Gaming (ex)","368238"
"Victor","OpTic Gaming (ex)","324824"
"Marved","OpTic Gaming","318638"
"crashies","OpTic Gaming (ex)","294225"
"Zyppan","FunPlus Phoenix (ex)","290531"
"BuZz","DRX","281289"
"ardiis","FunPlus Phoenix (ex)","279229"
"Shao","FunPlus Phoenix (ex)","277067"
"MaKo","DRX","263152"
"ScreaM","Team Liquid (ex)","260376"
"nAts","M3 Champions (ex)","260307"
"Chronicle","M3 Champions (ex)","259409"
"Rb","DRX","256644"
"FNS","OpTic Gaming (ex)","254698"
"SUYGETSU","FunPlus Phoenix (ex)","245790"
"keznit","KRÜ Esports (ex)","244498"
"stax","DRX","230293"
"Jamppi","Team Liquid","229296"
"Zest","DRX","229190"
"Derke","FNATIC","226291"
"Tacolilla","Leviatán","218845"
"aspas","LOUD","217774"
"kiNgg","Leviatán","216888"
"soulcas","Team Liquid","214808"
"xand","Ninjas in Pyjamas (ex)","213827"
"mwzera","Keyd Stars (ex)","213129"
"Mazino","KRÜ Esports (ex)","210075"
"Cryocells","XSET (ex)","208266"
"zekken","XSET (ex)","207839"
"heat","Keyd Stars (ex)","206448"
"Jinggg","Paper Rex","205856"
"f0rsakeN","Paper Rex","205251"
"Nivera","Team Liquid (ex)","204925"
"NagZ","KRÜ Esports","201576"
"ANGE1","FunPlus Phoenix (ex)","201331"
"adverso","Leviatán (ex)","201170"
"nukkye","G2 Esports (Inactive) (ex)","199169"
"cauanzin","Ninjas in Pyjamas (ex)","195614"
"Less","LOUD","194625"
"sScary","XERXIA Esports (ex)","193709"
"Laz","ZETA DIVISION","190067"
"Sacy","LOUD (ex)","186538"
"T3xture","DAMWON Gaming (ex)","185962"
"Saadhak","LOUD","184403"
"Jonn","Ninjas in Pyjamas (ex)","184284"
"Surf","XERXIA Esports (ex)","184262"
"TENNN","ZETA DIVISION","182942"
"Dep","ZETA DIVISION","181602"
"Mistic","FNATIC (ex)","181157"
"bezn1","Ninjas in Pyjamas (ex)","179688"
"trexx","Guild Esports","179409"
"Melser","Leviatán (ex)","179370"
"pANcada","LOUD (ex)","178875"
"Delz1k","KRÜ Esports (ex)","178013"
"SugarZ3ro","ZETA DIVISION","176498"
"BcJ","XSET (ex)","175994"
"HANN","World Game Star","175982"
"Sayf","Guild Esports (ex)","175592"
"Boaster","FNATIC","175488"
"foxz","XERXIA Esports (ex)","173852"
"Leo","Guild Esports (ex)","171933"
"Hoody","G2 Esports (Inactive) (ex)","171614"
"Asuna","100 Thieves","171511"
"Klaus","KRÜ Esports","171261"
"Chibab","Maru Gaming","171113"
"Sayaplayer","The Guard (ex)","170721"
"dephh","XSET (ex)","167225"
"sushiboys","XERXIA Esports (ex)","167114"
"murizzz","Keyd Stars (ex)","165917"
"Sylvan","World Game Star","165435"
"trent","The Guard","164211"
"Exy","DAMWON Gaming","163047"
"Alfajer","FNATIC","162034"
"NakJi","Maru Gaming (ex)","161630"
"d4v41","Paper Rex","160873"
"leaf","Cloud9","159379"
"Meddo","G2 Esports (Inactive) (ex)","159080"
"AYRIN","XSET (ex)","158458"
"WIX","Maru Gaming (ex)","156471"
"Nozwerr","FURIA (ex)","152179"
"mindfreak","Paper Rex","151770"
"iRdy","World Game Star","151268"
"Esperanza","DAMWON Gaming","150637"
"mixwell","G2 Esports (Inactive) (ex)","150431"
"Quick","FURIA","150044"
"Benkai","Paper Rex","150005"
"crws","XERXIA Esports (ex)","149682"
"valyn","The Guard (ex)","147558"
"valyn","The Guard","147558"
"JonahP","The Guard","145468"
"bang","100 Thieves","145260"
"Xeppaa","Cloud9","144136"
"neT","The Guard","143154"
"crow","ZETA DIVISION","142612"
"Luke","World Game Star","141890"
"mazin","FURIA","140856"
"Bazzi","On Sla2ers (ex)","140549"
"Khalil","FURIA","140181"
"sheydos","M3 Champions","140104"
"AvovA","G2 Esports (Inactive) (ex)","139109"
"Meteor","NORTHEPTION (ex)","133469"
"fl1pzjder","BOOM Esports (ex)","132863"
"koldamenta","Guild Esports","130352"
"k1Ng","On Sla2ers (ex)","130121"
"Monyet","Onic Esports (ex)","129475"
"BABYBAY","FaZe Clan","129327"
"dicey","FaZe Clan","129259"
"mitch","Cloud9 (ex)","127154"
"Enzo","FNATIC (ex)","126945"
"Meiy","Crazy Raccoon","125843"
"tehbotol","BOOM Esports (ex)","125629"
"blaZek1ng","BOOM Esports","125390"
"Lmemore","Onic Esports (ex)","124911"
"GodDead","On Sla2ers","124047"
"Redgar","M3 Champions","123646"
"TS","On Sla2ers (ex)","123105"
"GODLIKE","World Game Star (ex)","122938"
"Will","100 Thieves (ex)","122206"
"Cloud","Natus Vincere (ex)","121149"
"BerserX","BOOM Esports","120982"
"zunba","On Sla2ers (ex)","120633"
"kon4n","TBK Esports (ex)","120446"
"TenZ","Sentinels","119867"
"vanity","Cloud9","119058"
"popogachi","Crazy Raccoon","118581"
"Deryeon","Bleed Esports (ex)","118248"
"s0m","NRG Esports","117654"
"eeiu","NRG Esports (ex)","116633"
"jawgemo","Evil Geniuses","115941"
"cNed","Acend (ex)","114731"
"tuyz","TBK Esports (ex)","114445"
"Derrek","100 Thieves","114400"
"supamen","FaZe Clan","113601"
"tex","NRG Esports (ex)","112403"
"ShahZaM","Sentinels (ex)","112232"
"matheuzin","TBK Esports","112231"
"Boostio","Evil Geniuses","111152"
"Shiro","Onic Esports (ex)","109730"
"7ssk7","Natus Vincere (ex)","108617"
"Russ","Guild Esports (ex)","107802"
"xnfri","NORTHEPTION (ex)","106532"
"ryotzz","TBK Esports","106402"
"stellar","100 Thieves","106308"
"pyth","Bleed Esports (ex)","105799"
"dapr","Sentinels (ex)","104369"
"lenne","Bleed Esports (ex)","103551"
"mada","Luminosity Gaming (ex)","102361"
"deigara","9z Team","101854"
"neth","Crazy Raccoon","101655"
"JoXJo","NORTHEPTION (ex)","101564"
"bdog","Luminosity Gaming (ex)","101472"
"maxie","Bleed Esports (ex)","101013"
"SEVERiNE","Onic Esports (ex)","100953"
"Ssun","Spear Gaming (ex)","100703"
"Shyy","Leviatán","98650"
"Puleule","9z Team","98094"
"hazed","NRG Esports (ex)","97685"
"Mizu","9z Team","97422"
"flyuh","FaZe Clan (ex)","96454"
"sheydos","M3 Champions (ex)","96252"
"SUTHER","9z Team (ex)","96030"
"BlackWiz","NORTHEPTION","94976"
"NcSlasher","Onic Esports (ex)","94613"
"Astell","Crazy Raccoon","94026"
"vaiZ","Leviatán (ex)","93733"
"Starxo","Acend","93657"
"wannafly","Made in Thailand","92082"
"Moose","Luminosity Gaming (ex)","91926"
"Kadoom","Made in Thailand","91727"
"Redgar","M3 Champions (ex)","91460"
"poised","FaZe Clan","91247"
"L1NK","Team Liquid (ex)","91229"
"Duno","Natus Vincere (ex)","90515"
"Tuli","Movistar Optix (ex)","90317"
"Medusa","REJECT (ex)","89386"
"lukzera","TBK Esports","87842"
"RgLMeister","Keyd Stars (ex)","87679"
"d3ffo","M3 Champions (ex)","87302"
"dazzLe","Luminosity Gaming (ex)","87250"
"TiGG","Luminosity Gaming (ex)","87071"
"takej","REJECT (ex)","86712"
"Munchkin","Crazy Raccoon (ex)","85495"
"QutionerX","BBL Esports","84579"
"ableJ","FURIA (ex)","84075"
"Reita","REJECT (ex)","83952"
"Reformed","Evil Geniuses","83911"
"HANLING","9z Team (ex)","83333"
"dinkzj","Natus Vincere (ex)","83240"
"AsLanM4shadoW","BBL Esports","82883"
"Kongared","Made in Thailand","82416"
"AloNeFillz","Made in Thailand","81472"
"Bangnan","DAMWON Gaming (ex)","80486"
"Moves","Maru Gaming (ex)","80395"
"DubsteP","Team Secret","80020"
"Jeong Hi","Maru Gaming (ex)","79437"
"Twisten","BIG (ex)","79263"
"zepher","REJECT (ex)","79121"
"dgzin","Gamelanders Blue (ex)","78594"
"pr0xy","Spear Gaming (ex)","78537"
"bnj","Ninjas in Pyjamas (ex)","78304"
"BORKUM","Team Secret","74077"
"JessieVash","Team Secret","73953"
"Harry","HolyMolly","73122"
"deLb","Alter Ego","73018"
"Ethan","NRG Esports (ex)","72668"
"aimDLL","BBL Esports","71960"
"zeek","Acend (ex)","71475"
"MONSTEERR","Acend (ex)","70975"
"MOLSI","OG LDN UTD (ex)","70629"
"xeta","Cloud9 (ex)","70370"
"Kush","Alter Ego","70017"
"Minty","FAV gaming","69989"
"Bangnan","Team T5 (ex)","69934"
"SicK","Sentinels (ex)","69849"
"vickt0r","Movistar Optix","69727"
"Derialy","NORTHEPTION","68877"
"v1xen","Keyd Stars (ex)","68869"
"C0M","Evil Geniuses","68571"
"Wavy","CNJ Esports","68155"
"liazzi","Liberty","68018"
"gio","Movistar Optix","67503"
"Fisker","FAV gaming (ex)","67294"
"penny","Version1 (Inactive) (ex)","67169"
"Keria","Spear Gaming","67011"
"Hermes","HolyMolly (ex)","66898"
"Tio","Movistar Optix","65737"
"dimasick","Team Liquid","65575"
"10X","HolyMolly (ex)","65261"
"Jeong Hi","DAMWON Gaming (ex)","64693"
"chase","Gamelanders Blue (ex)","64630"
"zeddy","Natus Vincere (ex)","63496"
"wippie","Version1 (Inactive) (ex)","63327"
"Witz","Team Secret (ex)","63264"
"noxxy","Alter Ego (si)","62715"
"Fuzari","Gamelanders Blue (ex)","62663"
"Secret","Desperado (ex)","62656"
"AslaN","BIG (ex)","62597"
"Lakia","IGZIST (ex)","62589"
"Apoth","Evil Geniuses","62388"
"JinboongE","HolyMolly (ex)","62283"
"feqew","OG LDN UTD (ex)","62245"
"RHZ","Keyd Stars (ex)","62240"
"Zander","Version1 (Inactive) (ex)","62169"
"Obnoks","BIG (ex)","62061"
"Nyang","Gamelanders Blue","61732"
"MAGNUM","FNATIC (ex)","61154"
"Moves","Team T5 (ex)","60707"
"Famouz","BOOM Esports (ex)","60496"
"Benecia","CNJ Esports","60218"
"vakk","Acend","60134"
"LEXY","Bleed Esports (ex)","60035"
"Hate","DAMWON Gaming (ex)","59938"
"jzz","MIBR","59852"
"Zellsis","Version1 (Inactive) (ex)","59113"
"bazz","FAV gaming","59002"
"Turko","BBL Esports","58887"
"RyZzi","Desperado (ex)","58692"
"iNTRO","DAMWON Gaming (si)","57936"
"frostmind","BOOM Esports (ex)","57706"
"krain","Liberty","57637"
"Boo","OG LDN UTD (ex)","57339"
"adrnking","Alter Ego","57129"
"LOB","FAV gaming","56594"
"Famouz","Persija Esports (ex)","56510"
"oitaN","IGZIST","56090"
"Moothie","CNJ Esports (ex)","55928"
"Phantom","FAV gaming","55492"
"GwangUh","Maru Gaming (ex)","55248"
"Felix","HolyMolly (ex)","55134"
"vow","Team T5 (ex)","54960"
"CTC","Los Grandes (ex)","54957"
"Destrian","OG LDN UTD (ex)","54829"
"shion","Liberty (ex)","54655"
"Feniz","E-Xolos LAZER","54235"
"ExiA","Spear Gaming","54160"
"braveaf","FNATIC (ex)","54159"
"frz","MIBR","53722"
"luckeRRR","BIG (ex)","53430"
"JhoW","Keyd Stars (ex)","53118"
"v1xen","Ninjas in Pyjamas (ex)","52890"
"Daveeys","E-Xolos LAZER (ex)","52213"
"effys","Version1 (Inactive) (ex)","51877"
"godko","Desperado (ex)","51542"
"hype","OG LDN UTD (ex)","51349"
"RND","Los Grandes (ex)","51295"
"Flynch","Persija Esports (ex)","50750"
"SungJin","Spear Gaming (ex)","50524"
"NiSMO","Ghost Gaming (ex)","50337"
"pAura","BBL Esports (ex)","50016"
"Rain","CNJ Esports","49719"
"Has1ra14","CNJ Esports","49537"
"YESicaN","Fancy United Esports","49530"
"ban","Knights (ex)","49368"
"prince","Los Grandes (ex)","49360"
"dgzin","FURIA","48522"
"skuba","Knights (ex)","48482"
"Genghsta","Knights (ex)","48212"
"Eeyore","Persija Esports","48149"
"SiuFatBB","Griffin E-Sports","48065"
"gustt1nha","Los Grandes (ex)","47993"
"redwater877","Team T5","47795"
"axeLuvY","Alter Ego (ex)","47690"
"zombs","Sentinels (ex)","46546"
"Delta","Maru Gaming (ex)","46399"
"DeNaro","MIBR (ex)","46147"
"myssen","Liberty","45933"
"pleets","Los Grandes","45779"
"NoriseN","REJECT (ex)","45470"
"gtnziN","MIBR (ex)","45379"
"XXiF","Knights (ex)","45316"
"Pepper","IGZIST (ex)","44711"
"mNdS","MIBR (ex)","44166"
"koalanoob","Ghost Gaming (ex)","44107"
"Maple","ORDER (ex)","43426"
"WRONSKI","ORDER (ex)","43385"
"Hyzee","Fancy United Esports (ex)","42996"
"Kishi","CERBERUS Esports (ex)","42749"
"baddyG","FunPlus Phoenix (ex)","42743"
"JohnOlsen","FULL SENSE","41671"
"Fung3","Griffin E-Sports","41623"
"Johnqt","Ghost Gaming (ex)","41496"
"BandiCoot","E-Xolos LAZER","41173"
"D1E","Movistar Optix","40772"
"curry","Cloud9 (ex)","40677"
"zennakukinn","BLUE BEES.ESP (ex)","40461"
"W1nner","Griffin E-Sports","40405"
"Delend","Made in Thailand (ex)","40309"
"rDeeW","ORDER (ex)","40172"
"Dispenser","Team Secret","40168"
"asteriskk","Persija Esports","39925"
"jfoen","E-Xolos LAZER","39888"
"YRSelect","Griffin E-Sports (si)","39420"
"disk0","ORDER (ex)","39325"
"aproto","Ghost Gaming (ex)","38971"
"rion","Crazy Raccoon","38745"
"brawk","Ghost Gaming (ex)","38626"
"allow","Jadeite (ex)","38585"
"Texta","ORDER (ex)","38444"
"Wenty","Tartarus (ex)","38419"
"roseaufy","Persija Esports","38350"
"JUGi","FOKUS","38275"
"DaeGi","Tartarus (ex)","38106"
"GOLD","Desperado (ex)","38012"
"Dcop","FUSION","37710"
"Rainy","Griffin E-Sports","37201"
"poem","IGZIST","36873"
"akashi","CERBERUS Esports (ex)","36744"
"Jady","Natus Vincere (ex)","36611"
"RIPablo","IGZIST","36504"
"Xandrite","NORTHEPTION (ex)","36237"
"f1cio","Fancy United Esports","36142"
"Lok1","CERBERUS Esports (ex)","36113"
"Fantasy","Team T5","36054"
"Ethan","100 Thieves (ex)","35961"
"neptune","Rise (ex)","35720"
"ANDROID","NRG Esports (ex)","35355"
"MOLSI","LDN UTD (ex)","35072"
"Kr1stal","BLUE BEES.ESP (ex)","34790"
"v1nNy","Gamelanders Blue (ex)","34677"
"YaBoiDre","Evil Geniuses (ex)","34657"
"Derrek","Rise (ex)","34613"
"Xander","FUSION","34254"
"Frosty","Knights (ex)","34072"
"Xdll","BLUE BEES.ESP (ex)","34054"
"XiSTOU","SuperMassive (ex)","33874"
"Izzy","SuperMassive","33859"
"musashi","BIG (ex)","33771"
"KimGyuTae","Desperado","33659"
"Hiko","100 Thieves (ex)","33489"
"wyz","FUSION","33364"
"MatiS","EBRO Gaming (ex)","33277"
"gMd","TSM (ex)","33055"
"gob b","BIG (ex)","33030"
"Foxy9","Reignite (ex)","32984"
"Anker","Jadeite (ex)","32954"
"azys","South Built Esports (ex)","32805"
"NAOS JA","South Built Esports (ex)","32477"
"Fross","SunXet Club","32430"
"feqew","LDN UTD (ex)","32413"
"Jremy","Team Secret","32204"
"Sơn KeKe","Fancy United Esports (ex)","31914"
"Torrify","FUSION (ex)","31720"
"THEE","FULL SENSE","31537"
"david","PAMPAS (ex)","31400"
"bucher","FOKUS (ex)","31352"
"Kanpeki","Sentinels (ex)","31336"
"b3ta","Made in Thailand","31147"
"fenNy","SunXet Club","31026"
"Subroza","TSM (ex)","30829"
"Brave","SuperMassive (ex)","30822"
