"Ign","Team","Headshots"
"NAOS JA","South Built Esports (ex)","130"
"PapiChulo","South Built Esports (ex)","129"
"Dreamas","LDN UTD (ex)","129"
"f1cio","Fancy United Esports","129"
"b3ta","Made in Thailand","128"
"Sushi","EBRO Gaming (ex)","128"
"LEXY","Bleed Esports (ex)","125"
"Destrian","LDN UTD (ex)","125"
"Retla","Bleed Esports (ex)","124"
"olzerr","PAMPAS (ex)","123"
"vong","FOKUS (ex)","122"
"roseaufy","Persija Esports","122"
"frz","Sharks Esports (ex)","122"
"david","PAMPAS (ex)","122"
"KimGyuTae","Desperado","121"
"corey","TSM (ex)","120"
"Brinks","Gamelanders Blue (si)","120"
"allow","Jadeite (ex)","120"
"SylFy","Jadeite (ex)","120"
"luckeRRR","BIG (ex)","118"
"luckeRRR","BIG (ex)","118"
"Glovee","SuperMassive (ex)","117"
"swag","Team Vikings (ex)","117"
"Kanpeki","Sentinels (ex)","117"
"Holbreak","EBRO Gaming (ex)","117"
"ChAlalala","FULL SENSE (ex)","116"
"D1E","Meta Gaming (ex)","116"
"SoGaTe","Tartarus (ex)","115"
"NicoMachine","Meta Gaming (ex)","115"
"JUGi","FOKUS","115"
"LAMMYSNAX","FULL SENSE (ex)","115"
"RgLMeister","INGAMING Esports (ex)","114"
"pdr","INGAMING Esports (ex)","113"
"tixx","Bonkers(OCE) (ex)","113"
"shroud","Sentinels","113"
"fenNy","SunXet Club","112"
"SEIDER","FunPlus Phoenix (si)","112"
"prozin","Sharks Esports","111"
"gob b","BIG (ex)","111"
"Izzy","SuperMassive","111"
"flippy","South Built Esports (ex)","111"
"kurozooted","Reignite","111"
"Kaspe","BIG (ex)","110"
"CyderX","SuperMassive (ex)","110"
"DOGAO","Movistar Optix","110"
"KILLDREAMST","Sharks Esports (ex)","109"
"Jremy","Team Secret","109"
"RoaN","SunXet Club (ex)","109"
"diewijAs","PAMPAS (ex)","108"
"feqew","LDN UTD (ex)","108"
"LucasVade","Meta Gaming (ex)","108"
"Rossy","TSM (ex)","108"
"shelbyN","EBRO Gaming (ex)","108"
"NANZIN","INGAMING Esports (ex)","108"
"Dreamas","Team Liquid (ex)","107"
"badsitoww","Meta Gaming (ex)","107"
"CLZ","FENNEL","106"
"flainzz","INGAMING Esports (ex)","106"
"seven","TSM (ex)","105"
"GwangUh","Tartarus (ex)","105"
"JinboongE","Brimstone (ex)","104"
"jcStani","100 Thieves (ex)","104"
"PTC","FULL SENSE (ex)","102"
"SyouTa","Crest Gaming ZST (ex)","102"
"Xander","FUSION","101"
"Wenty","GoNGo Prince (ex)","100"
"glym","Liberty (ex)","100"
"v1xen","Ninjas in Pyjamas (si)","100"
"HaReeee","REJECT (ex)","100"
"Nexi","Rex Regum Qeon (ex)","97"
"eKo","Reignite (ex)","96"
"iNTRO","DAMWON Gaming (ex)","96"
"leonzhett","PAMPAS (ex)","95"
"Brofeld","Jadeite","95"
"EndU","Team GP","95"
"rochet","SunXet Club (ex)","94"
"Peloncito","E-Xolos LAZER","94"
"Jemkin","BLUE BEES.ESP (ex)","94"
"hyouka","Reignite","93"
"something","BLUE BEES.ESP (ex)","92"
"Envy","FENNEL (ex)","92"
"BRNWOWZK1","INGAMING Esports (ex)","92"
"artzin","Stars Horizon (ex)","89"
"KuuKai","Crest Gaming ZST (ex)","89"
"Lawrence","GoNGo Prince","88"
"LEXY","Bleed Esports (ex)","88"
"kobra","Sengoku Gaming (ex)","88"
"Pro","South Built Esports (ex)","87"
"Minimise","Bonkers(OCE) (ex)","87"
"thiefy","Sengoku Gaming (ex)","87"
"Shanks","Rise (ex)","86"
"UdoTan","GoNGo Prince (ex)","86"
"Derialy","FENNEL (ex)","86"
"Redneval","CERBERUS Esports (ex)","86"
"Art","Sengoku Gaming (ex)","86"
"Akame","Jadeite","85"
"Torrify","FUSION (ex)","85"
"WKN","Meta Gaming (ex)","85"
"NeruFi","Crest Gaming ZST","85"
"Lightningfast","Global Esports","85"
"DEATHMAKER","Velocity Gaming","85"
"Tuli","9z Team (si)","84"
"raafa","Liberty (ex)","84"
"Estrella","Desperado (ex)","84"
"Harry","Brimstone (si)","84"
"Addicted","Sharks Esports (ex)","83"
"Nozz","Bonkers(OCE) (ex)","83"
"SamuraiDeeper","Crest Gaming ZST (ex)","83"
"TORANECO","BLUE BEES.ESP (ex)","82"
"PEPA","Team Vikings (ex)","82"
"gaabxx","Sharks Esports (ex)","82"
"10X","Brimstone (si)","82"
"Maverick","Stars Horizon (ex)","81"
"flainzz","Stars Horizon","81"
"Eliza","GoNGo Prince (ex)","81"
"sakurai","Hexad (ex)","81"
"Vibhor","Velocity Gaming (ex)","81"
"Rabbet","Rex Regum Qeon","80"
"2GE","Rex Regum Qeon","80"
"Misaya","Sengoku Gaming","80"
"JitboyS","FW Esports (ex)","79"
"Dobsha","E-Xolos LAZER (ex)","79"
"GangPin","Sengoku Gaming (ex)","79"
"skrawl","Bonkers(OCE) (ex)","79"
"Suka","Fancy United Esports (ex)","78"
"Chronicle","Gambit Esports (ex)","78"
"alyaL","CERBERUS Esports (ex)","77"
"GOLD","Desperado (si)","75"
"Zerost","BLUE BEES.ESP (ex)","75"
"zunba","On Sla2ers (si)","75"
"Knight","Pentagon","74"
"Dualing","Storks Phalanx (ex)","74"
"Unnsto","EBRO Gaming (ex)","73"
"NANZIN","Stars Horizon","73"
"Draxii","Rex Regum Qeon (ex)","73"
"Dhimorutoo","Reignite (ex)","73"
"Nizzy","Fancy United Esports","72"
"sheydos","Gambit Esports (ex)","72"
"hellff","Velocity Gaming","71"
"Redgar","Gambit Esports (ex)","71"
"Daicute","CERBERUS Esports (ex)","71"
"ringring","CNJ Esports","71"
"Brofeld","Hexad (ex)","70"
"Suggest","DetonatioN Gaming White (ex)","70"
"Pooky","CNJ Esports (ex)","70"
"TORANECO","Hexad (ex)","70"
"L1NK","Acend (ex)","70"
"kellyS","Rex Regum Qeon (ex)","69"
"Den2","Spear Gaming (ex)","68"
"skillZ","Global Esports","67"
"Amaterasu","Velocity Gaming","67"
"pollo","Team Vikings (ex)","67"
"TENSAI","FENNEL (ex)","66"
"jEEE","NAOS Esports","66"
"mada","Shopify Rebellion","66"
"Luna","IXA","65"
"Vera","No Namers (ex)","65"
"k1Ng","On Sla2ers (si)","65"
"ParkJJong","Team GP (ex)","65"
"tinggg2k5","CERBERUS Esports","65"
"Felix","Brimstone (si)","65"
"mittiii","FENNEL (ex)","65"
"Dszera","Team Vikings (ex)","64"
"bnj","9z Team (si)","64"
"Moose","Shopify Rebellion","64"
"Kiuuuu","Oblivion Force","63"
"Halbae","World Game Star (ex)","63"
"Flax","Hexad (ex)","62"
"Hate","Jadeite (ex)","62"
"C1nder","SCARZ (ex)","62"
"Sk9Na","Team GP (ex)","61"
"nephh","Gaimin Gladiators (ex)","60"
"Apinya","FW Esports (ex)","60"
"Eugene","DAMWON Gaming","60"
"Kakarot","NAOS Esports","60"
"killua","FW Esports","60"
"Haodong","EDward Gaming","60"
"SungJin","CNJ Esports (ex)","59"
"Teerapong","FW Esports","59"
"kvzx","NAOS Esports","59"
"Veroneze","Team Vikings (ex)","59"
"DaeGi","Team GP (ex)","59"
"BabyJ","100 Thieves (ex)","59"
"이토히로부비부빗","Team T5 (ex)","59"
"SeolHo","Spear Gaming (ex)","58"
"rDeeW","Bonkers(OCE) (ex)","58"
"Kaminari","Hexad (ex)","58"
"ClarK","World Game Star (ex)","58"
"Anthem","SCARZ (ex)","57"
"SoGaTe","Team GP (ex)","57"
"GodDead","On Sla2ers (si)","57"
"marin","SCARZ (ex)","56"
"TS","On Sla2ers (si)","56"
"CHICHOO","EDward Gaming","56"
"Yacine","Guild Esports","55"
"DDcream","Pentagon","55"
"BP","Veronica7","55"
"TiGG","Shopify Rebellion (ex)","55"
"Bazzi","On Sla2ers (si)","54"
"Pay","Veronica7 (ex)","54"
"TenzouEz","DeToNator (ex)","54"
"Yun","Pentagon","54"
"nobody","EDward Gaming","53"
"ryota-","SCARZ (ex)","53"
"RHZ","Keyd Stars (si)","53"
"coco","Oasis Gaming","53"
"FREY","Gaimin Gladiators (ex)","53"
"NoMan","Oblivion Force (ex)","52"
"RgLMeister","Keyd Stars (si)","52"
"AcMe","Veronica7","51"
"rite2ace","Velocity Gaming (ex)","51"
"SkRossi","Global Esports","51"
"pdr","Stars Horizon (ex)","51"
"B1ngSu","Veronica7","51"
"STYRON","Gaimin Gladiators (ex)","51"
"dzii","Gaimin Gladiators (ex)","51"
"B4nnba","Pentagon","50"
"d3ffo","Gambit Esports (ex)","50"
"Hermes","Brimstone (ex)","50"
"Shun","No Namers (ex)","50"
"ZmjjKK","EDward Gaming","50"
"nAts","Gambit Esports (ex)","50"
"rez1v","Storks Phalanx","50"
"柳ヶ瀬鈴乃","IXA (ex)","49"
"Shuzz","SCARZ (ex)","49"
"Swee","IXA","49"
"invy","Oasis Gaming (ex)","48"
"Kant","VPZ (ex)","47"
"Gunny","GoNGo Prince","47"
"Killer0714","DetonatioN Gaming White","47"
"Rawkus","Sentinels (ex)","47"
"REV1","Pentagon","47"
"mnz","IXA","46"
"PADO","Veronica7 (ex)","46"
"SID","VPZ","46"
"DippER","VPZ (ex)","46"
"hsk","DetonatioN Gaming White","45"
"Tempz","No Namers (ex)","45"
"bdog","Shopify Rebellion","44"
"HellrangeR","Global Esports","44"
"artn","Gaimin Gladiators (ex)","44"
"Xiaonuo","DeToNator","44"
"blurred","NAOS Esports","44"
"K1llgrave","DeToNator (ex)","44"
"dazzLe","Shopify Rebellion","43"
"K1LLERS","Fancy United Esports (ex)","43"
"keloqz","G2 Esports (Inactive) (ex)","42"
"ec1s","100 Thieves (ex)","42"
"H1BER","FNATIC (si)","42"
"Majestyy","FW Esports","41"
"Has1ra14","Maru Gaming (ex)","41"
"Smoggy","EDward Gaming","41"
"Biju","IXA (ex)","40"
"Anguuuuu","Storks Phalanx (ex)","40"
"LEXY","Bleed Esports (si)","40"
"micr0","South Built Esports (ex)","40"
"Blas","NAOS Esports","39"
"Darker","FUSION","39"
"munghoon","VPZ","39"
"Lumo","Insomnia (ex)","39"
"Ijin","Storks Phalanx (ex)","38"
"arm1e","EVA:e (ex)","38"
"Vici","Sengoku Gaming","38"
"Purp0","Acend (si)","38"
"Wild0reoo","Oasis Gaming","37"
"Rico","EVA:e (ex)","37"
"EROC","EVA:e (ex)","37"
"Zerost","Sengoku Gaming","36"
"Jan","Next eSports","36"
"MerRy","Storks Phalanx (ex)","36"
"Marmelo","Jadeite","36"
"KappA","Global Esports","36"
"DxN","No Namers (ex)","34"
"FuriousMeow","Oblivion Force","34"
"Junseo","Next eSports","34"
"Akame","K2 eSports (ex)","34"
"SSeeS","DetonatioN Gaming White (ex)","32"
"hypathor","Oblivion Force","32"
"Danielesflo","FUSION (ex)","32"
"yoman","Next eSports (ex)","32"
"FifTy","DeToNator","32"
"Marky","Oasis Gaming","32"
"something","Sengoku Gaming","32"
"HellFull","FUSION (ex)","32"
"Kei","looking for a name","31"
"hatty","ややーず (ex)","31"
"Wonjina","Next eSports","31"
"Skyfull","DeToNator (ex)","30"
"skyeSG","No Namers (ex)","30"
"AlKawai","Insomnia (ex)","30"
"Haxball","VPZ","30"
"JREXXX","Insomnia (ex)","29"
"Lily","EVA:e","29"
"Melofovia","DetonatioN Gaming White (ex)","29"
"xeta","Cloud9 (si)","29"
"Paint","Insomnia (ex)","28"
"Twinte","looking for a name (ex)","28"
"AztKk","FUSION (ex)","28"
"Alex","Next eSports (ex)","28"
"ParkJJong","Tartarus (si)","28"
"Solution","FUSION (ex)","27"
"CyderX","BBL Esports (si)","27"
"CHIMEI","Oblivion Force","27"
"M4sh","EVA:e (ex)","27"
"RIA","ややーず (ex)","26"
"MqsaaV","Mariner","25"
"H1K","SchwarzerLand","25"
"こころん","looking for a name","25"
"Neal X","Insomnia (ex)","25"
"GwangUh","Tartarus (si)","23"
"pippi","Rebellion Arts","23"
"Life","EDward Gaming (ex)","23"
"SoGaTe","Tartarus (si)","23"
"reooooo","Rebellion Arts","23"
"GLAB zey","NAOS Esports (ex)","22"
"Leazo","9z Team","22"
"sickLy","FUSION","22"
"Learica","TRIDENT (ex)","22"
"MuuShock","Rebellion Arts","21"
"Valll","Focus e-Sports (ex)","21"
"Poach","FaZe Clan (ex)","21"
"Creative","GoNGo Prince","20"
"sakurai","Crest Gaming ZST (ex)","20"
"Ripper","Oasis Gaming","20"
"UmiNtyU","Mariner","20"
"Meimoo","Rebellion Arts","20"
"silver","K2 eSports (ex)","20"
"Ludens","K2 eSports (ex)","19"
"pouoxo","TRIDENT (ex)","19"
"Anna","Next eSports (ex)","19"
"shura","Focus e-Sports","19"
"Reita","Crest Gaming ZST (si)","19"
"kobra","Crest Gaming ZST","19"
"cuda","GyoGun (ex)","18"
"Wenty","Tartarus (si)","18"
"2KY","SchwarzerLand","18"
"Sacchi","SchwarzerLand","18"
"Defectio","ややーず (ex)","18"
"takej","Crest Gaming ZST (si)","18"
"RELAXING","TRIDENT (ex)","17"
"Maru","Mariner","17"
"kobra","REJECT (si)","17"
"Yso","TRIDENT (ex)","17"
"Num","AWS (ex)","17"
"Muj","BBL Esports (ex)","17"
"KadosuK","GyoGun (ex)","17"
"oikou","GyoGun (ex)","16"
"侵略者","ややーず","16"
"AzeL","looking for a name (ex)","16"
"Citrus7","SchwarzerLand","16"
"moco","TRIDENT (ex)","15"
"wait","KRÜ Esports (ex)","15"
"TAMAGO","AWS (ex)","15"
"Myself","AWS","15"
"大西大和","SETOUCHI ENLIFE (ex)","15"
"Suda","SETOUCHI ENLIFE (ex)","15"
"KAMEReon","AWS (ex)","15"
"SamuraiDeeper","REJECT (si)","15"
"DaeGi","Tartarus (si)","14"
"sakurai","REJECT (si)","14"
"ZONBee","GyoGun","14"
"Ask","Reignite","14"
"Pa1n","Focus e-Sports","13"
"Medusa","Crest Gaming ZST (si)","13"
"Dani","Sentinels (si)","13"
"Suke","SYSTEM e-Sports","13"
"azuma","K2 eSports (ex)","13"
"Machao","DetonatioN Gaming White (ex)","13"
"Lore","Focus e-Sports (ex)","12"
"Toto","GyoGun","12"
"SyouTa","REJECT (si)","12"
"kurtesy","Oasis Gaming","12"
"hiyokomaru","SYSTEM e-Sports","12"
"Ran","SETOUCHI ENLIFE (ex)","11"
"Shiroe","Mariner","11"
"YAYA","ややーず","11"
"Haner","K2 eSports (ex)","11"
"Siro","looking for a name (ex)","10"
"Gabriel","AWS","10"
"Flash","Rex Regum Qeon","10"
"Namikaze","SETOUCHI ENLIFE (ex)","10"
"Leo","SYSTEM e-Sports","10"
"40pingSterry","SETOUCHI ENLIFE","9"
"Zan","Focus e-Sports","9"
"sachi","Rebellion Arts (ex)","9"
"Puupop","Mariner","9"
"NoriseN","Crest Gaming ZST (si)","9"
"Nikumanyaro","SYSTEM e-Sports (ex)","9"
"fiN","SYSTEM e-Sports","8"
"NeruFi","REJECT (si)","8"
"KimGyuTae","Desperado (si)","8"
"Purp0","M3 Champions (ex)","7"
"zepher","Crest Gaming ZST (si)","7"
"P4F","SchwarzerLand","4"
"wait","KRÜ Esports (si)","2"