"Team","Map","Comp","Picks"
"Made in Thailand","Bind","Brimstone, Raze, Sage, Skye, Viper",3
"Made in Thailand","Fracture","Breach, Brimstone, Chamber, Neon, Sage",3
"Maru Gaming","Ascent","Astra, Chamber, Fade, Jett, KAY/O",3
"Maru Gaming","Breeze","Chamber, Jett, Sage, Sova, Viper",3
"Maru Gaming","Haven","Astra, Breach, Chamber, Jett, Sova",3
"Maru Gaming","Haven","Breach, Chamber, Jett, Omen, Raze",3
"Maru Gaming","Haven","Breach, Chamber, Jett, Omen, Skye",3
"Meta Gaming","Ascent","Astra, Chamber, Jett, KAY/O, Sova",3
"MIBR","Bind","Brimstone, Chamber, Raze, Skye, Viper",3
"MIBR","Icebox","Chamber, KAY/O, Sage, Sova, Viper",3
"Movistar Optix","Bind","Astra, Chamber, Raze, Skye, Viper",3
"Natus Vincere","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",3
"Ninjas in Pyjamas","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"Ninjas in Pyjamas","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",3
"Ninjas in Pyjamas","Fracture","Brimstone, Cypher, Jett, KAY/O, Sage",3
"NORTHEPTION","Bind","Astra, Breach, Jett, Skye, Viper",3
"NRG Esports","Icebox","Chamber, Omen, Sage, Sova, Viper",3
"OG LDN UTD","Haven","Astra, Breach, Chamber, Fade, Raze",3
"Onic Esports","Bind","Astra, Chamber, Raze, Sova, Viper",3
"Onic Esports","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",3
"Onic Esports","Icebox","Jett, KAY/O, Sage, Sova, Viper",3
"On Sla2ers","Bind","Astra, Jett, Sage, Skye, Viper",3
"On Sla2ers","Bind","Astra, Raze, Sage, Skye, Viper",3
"On Sla2ers","Breeze","Cypher, Jett, KAY/O, Sova, Viper",3
"OpTic Gaming","Fracture","Astra, Breach, Chamber, Raze, Viper",3
"OpTic Gaming","Haven","Astra, Chamber, KAY/O, Neon, Skye",3
"OpTic Gaming","Haven","Chamber, Fade, Killjoy, Omen, Phoenix",3
"OpTic Gaming","Haven","Chamber, KAY/O, Neon, Omen, Skye",3
"ORDER","Ascent","Chamber, Fade, KAY/O, Omen, Raze",3
"Paper Rex","Bind","Breach, Brimstone, Raze, Skye, Yoru",3
"Paper Rex","Bind","Brimstone, Chamber, Fade, Raze, Viper",3
"Paper Rex","Fracture","Breach, Chamber, Neon, Sage, Viper",3
"Paper Rex","Haven","Cypher, Jett, Omen, Reyna, Skye",3
"Paper Rex","Haven","Cypher, Jett, Omen, Reyna, Sova",3
"Persija Esports","Bind","Brimstone, Chamber, Neon, Raze, Sova",3
"Persija Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",3
"Persija Esports","Haven","Brimstone, Jett, Killjoy, Raze, Sova",3
"REJECT","Bind","Brimstone, Raze, Sage, Skye, Viper",3
"REJECT","Icebox","Chamber, Fade, Reyna, Sova, Viper",3
"Rise","Fracture","Astra, Breach, Chamber, Raze, Viper",3
"Sengoku Gaming","Icebox","Jett, Killjoy, Sage, Sova, Viper",3
"Sentinels","Breeze","Chamber, Fade, KAY/O, Sova, Viper",3
"Sentinels","Fracture","Astra, Breach, Chamber, Jett, Viper",3
"South Built Esports","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"South Built Esports","Haven","Astra, Breach, Jett, Killjoy, Sova",3
"Spear Gaming","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",3
"Spear Gaming","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"Spear Gaming","Haven","Breach, Jett, Killjoy, Omen, Sova",3
"Spear Gaming","Split","Astra, Chamber, Raze, Skye, Viper",3
"Stars Horizon","Fracture","Breach, Brimstone, Chamber, Cypher, Raze",3
"SunXet Club","Ascent","Jett, Killjoy, Omen, Sage, Sova",3
"SuperMassive","Icebox","Jett, Killjoy, Sage, Sova, Viper",3
"TBK Esports","Bind","Astra, Fade, Raze, Skye, Viper",3
"TBK Esports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",3
"TBK Esports","Fracture","Astra, Breach, Chamber, Raze, Viper",3
"TBK Esports","Haven","Breach, Chamber, Fade, Neon, Omen",3
"TBK Esports","Haven","Breach, Jett, Killjoy, Omen, Skye",3
"Team Liquid","Bind","Brimstone, Chamber, Raze, Skye, Viper",3
"Team Liquid","Bind","Brimstone, Raze, Sage, Skye, Viper",3
"Team Liquid","Breeze","Chamber, Jett, Skye, Sova, Viper",3
"Team Liquid","Haven","Astra, Chamber, KAY/O, Neon, Skye",3
"Team Liquid","Split","Breach, Brimstone, Omen, Raze, Sage",3
"Team Secret","Ascent","Chamber, Jett, KAY/O, Omen, Sova",3
"Team Secret","Haven","Breach, Jett, Killjoy, Omen, Sova",3
"Team Secret","Icebox","Chamber, Jett, Killjoy, Sova, Viper",3
"Team T5","Ascent","KAY/O, Killjoy, Omen, Reyna, Sova",3
"Team T5","Haven","Chamber, Jett, KAY/O, Omen, Sova",3
"Team Vikings","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",3
"The Guard","Bind","Astra, Raze, Sage, Skye, Viper",3
"The Guard","Icebox","Brimstone, Chamber, Fade, KAY/O, Viper",3
"The Guard","Icebox","Jett, Killjoy, Sage, Sova, Viper",3
"Version1 (Inactive)","Fracture","Breach, Brimstone, Chamber, Raze, Sage",3
"World Game Star","Bind","Astra, Breach, Jett, Raze, Sova",3
"World Game Star","Split","Astra, Breach, Chamber, Jett, Sage",3
"XERXIA Esports","Ascent","Astra, Fade, Jett, KAY/O, Killjoy",3
"XERXIA Esports","Bind","Brimstone, Chamber, Raze, Skye, Viper",3
"XERXIA Esports","Haven","Breach, Jett, Killjoy, Omen, Skye",3
"XSET","Fracture","Breach, Chamber, Neon, Omen, Sage",3
"100 Thieves","Breeze","Chamber, Jett, KAY/O, Sova, Viper",2
"100 Thieves","Split","Astra, Breach, Fade, Raze, Viper",2
"100 Thieves","Split","Astra, Cypher, Raze, Skye, Viper",2
"9z Team","Bind","Astra, Chamber, Raze, Skye, Viper",2
"9z Team","Bind","Breach, Brimstone, Chamber, Raze, Skye",2
"9z Team","Bind","Brimstone, Chamber, Raze, Skye, Viper",2
"9z Team","Haven","Astra, Breach, Chamber, Fade, Raze",2
"9z Team","Icebox","Chamber, Jett, Sage, Sova, Viper",2
"9z Team","Split","Cypher, Omen, Raze, Sage, Skye",2
"Acend","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"Acend","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",2
"Acend","Haven","Astra, Jett, KAY/O, Killjoy, Skye",2
"Acend","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"Alter Ego","Ascent","Jett, KAY/O, Omen, Sage, Sova",2
"Alter Ego","Icebox","Chamber, Jett, KAY/O, Sova, Viper",2
"BBL Esports","Haven","Astra, Breach, Jett, Killjoy, Sova",2
"BBL Esports","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"BBL Esports","Icebox","Jett, Reyna, Sage, Sova, Viper",2
"BBL Esports","Split","Astra, Breach, Cypher, Raze, Sage",2
"BIG","Bind","Brimstone, Chamber, Fade, Raze, Skye",2
"BIG","Haven","Astra, Jett, KAY/O, Killjoy, Sova",2
"BIG","Haven","Breach, Chamber, Fade, Omen, Raze",2
"BIG","Haven","Breach, Fade, Jett, Killjoy, Omen",2
"BIG","Icebox","Chamber, Jett, Omen, Sova, Viper",2
"Bleed Esports","Bind","Breach, Brimstone, Jett, Sova, Viper",2
"Bleed Esports","Icebox","Chamber, Killjoy, Sage, Sova, Viper",2
"Bleed Esports","Icebox","Jett, Killjoy, Sage, Sova, Viper",2
"Bleed Esports","Split","Astra, Raze, Sage, Skye, Viper",2
"BLUE BEES.ESP","Bind","Fade, Omen, Raze, Sage, Skye",2
"BLUE BEES.ESP","Haven","Astra, Breach, Jett, Killjoy, Skye",2
"BLUE BEES.ESP","Split","Astra, Jett, Killjoy, Sage, Skye",2
"BLUE BEES.ESP","Split","Chamber, Fade, Omen, Raze, Sage",2
"Bonkers(OCE)","Bind","Brimstone, Chamber, Neon, Skye, Sova",2
"BOOM Esports","Ascent","Astra, Chamber, Jett, KAY/O, Sova",2
"BOOM Esports","Breeze","Cypher, Jett, KAY/O, Sova, Viper",2
"BOOM Esports","Fracture","Astra, Breach, Cypher, Raze, Viper",2
"BOOM Esports","Split","Astra, Breach, Chamber, KAY/O, Neon",2
"CERBERUS Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",2
"Cloud9","Ascent","Chamber, Fade, KAY/O, Neon, Omen",2
"Cloud9","Bind","Astra, Chamber, Raze, Sova, Viper",2
"Cloud9","Haven","Astra, Breach, Jett, Killjoy, Skye",2
"CNJ Esports","Breeze","Chamber, KAY/O, Skye, Sova, Viper",2
"CNJ Esports","Fracture","Breach, Brimstone, Chamber, KAY/O, Raze",2
"Crazy Raccoon","Bind","Brimstone, Fade, Raze, Skye, Viper",2
"Crazy Raccoon","Breeze","Cypher, Jett, KAY/O, Sova, Viper",2
"Crazy Raccoon","Haven","Astra, Jett, Killjoy, Skye, Sova",2
"Crazy Raccoon","Haven","Breach, Jett, Killjoy, Omen, Sova",2
"Crazy Raccoon","Split","Breach, Cypher, Omen, Raze, Sage",2
"Crest Gaming ZST","Ascent","Astra, Cypher, Jett, Skye, Sova",2
"DAMWON Gaming","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",2
"DAMWON Gaming","Breeze","Astra, Jett, KAY/O, Sova, Viper",2
"DAMWON Gaming","Fracture","Astra, Breach, Chamber, KAY/O, Raze",2
"DAMWON Gaming","Fracture","Astra, Breach, Chamber, Raze, Sage",2
"DRX","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",2
"DRX","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"DRX","Haven","Astra, Breach, Jett, Killjoy, Skye",2
"DRX","Split","Breach, Chamber, Fade, Neon, Omen",2
"DRX","Split","Breach, Chamber, Neon, Omen, Sage",2
"EVA:e","Haven","Astra, Breach, Chamber, Raze, Skye",2
"Evil Geniuses","Bind","Astra, Raze, Skye, Sova, Viper",2
"Evil Geniuses","Haven","Astra, Jett, Killjoy, Skye, Sova",2
"Evil Geniuses","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"Evil Geniuses","Split","Astra, Breach, Cypher, Raze, Skye",2
"E-Xolos LAZER","Bind","Astra, Chamber, Fade, KAY/O, Raze",2
"E-Xolos LAZER","Bind","Brimstone, Chamber, Raze, Skye, Sova",2
"E-Xolos LAZER","Bind","Chamber, Fade, Omen, Raze, Skye",2
"E-Xolos LAZER","Fracture","Breach, Brimstone, Chamber, Fade, Raze",2
"E-Xolos LAZER","Haven","Chamber, KAY/O, Omen, Raze, Sova",2
"E-Xolos LAZER","Icebox","Chamber, KAY/O, Killjoy, Sova, Viper",2
"Fancy United Esports","Ascent","Astra, Chamber, Fade, KAY/O, Omen",2
"Fancy United Esports","Fracture","Astra, Breach, Brimstone, KAY/O, Neon",2
"Fancy United Esports","Haven","Astra, Breach, Chamber, Jett, Skye",2
"Fancy United Esports","Icebox","Chamber, KAY/O, Omen, Sova, Viper",2
"FAV gaming","Bind","Astra, Raze, Sage, Skye, Viper",2
"FAV gaming","Bind","Brimstone, Raze, Sage, Skye, Viper",2
"FAV gaming","Haven","Breach, Chamber, Jett, KAY/O, Omen",2
"FAV gaming","Haven","Fade, Jett, Killjoy, Omen, Skye",2
"FAV gaming","Icebox","Jett, KAY/O, Sage, Sova, Viper",2
"FAV gaming","Icebox","Jett, Reyna, Sage, Sova, Viper",2
"FaZe Clan","Ascent","Astra, Chamber, Fade, KAY/O, Sova",2
"FaZe Clan","Ascent","Chamber, Jett, KAY/O, Omen, Sova",2
"FaZe Clan","Haven","Chamber, Fade, Omen, Raze, Sage",2
"FENNEL","Fracture","Astra, Breach, Cypher, Raze, Sage",2
"FENNEL","Split","Astra, Breach, Killjoy, Raze, Viper",2
"FNATIC","Ascent","Chamber, Fade, KAY/O, Omen, Sage",2
"FNATIC","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",2
"FNATIC","Fracture","Astra, Breach, Chamber, Raze, Viper",2
"FNATIC","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",2
"FNATIC","Fracture","Breach, Brimstone, Chamber, Raze, Viper",2
"FNATIC","Fracture","Breach, Brimstone, Cypher, Raze, Viper",2
"FNATIC","Haven","Astra, Breach, Jett, Killjoy, Sova",2
"FNATIC","Haven","Breach, Chamber, Fade, Omen, Raze",2
"FNATIC","Pearl","Astra, Chamber, Fade, Neon, Skye",2
"FNATIC","Split","Astra, KAY/O, Raze, Sage, Viper",2
"FNATIC","Split","KAY/O, Omen, Raze, Sage, Viper",2
"FOKUS","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"FOKUS","Bind","Brimstone, Jett, Raze, Skye, Viper",2
"FOKUS","Breeze","Cypher, Jett, KAY/O, Sova, Viper",2
"FOKUS","Fracture","Breach, Brimstone, Cypher, Neon, Raze",2
"FULL SENSE","Breeze","Chamber, Jett, Skye, Sova, Viper",2
"FunPlus Phoenix","Breeze","Cypher, Jett, Skye, Sova, Viper",2
"FunPlus Phoenix","Haven","Chamber, Fade, KAY/O, Omen, Raze",2
"FunPlus Phoenix","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"FunPlus Phoenix","Icebox","Chamber, Killjoy, Sage, Sova, Viper",2
"FunPlus Phoenix","Split","Astra, KAY/O, Killjoy, Raze, Viper",2
"FunPlus Phoenix","Split","Cypher, Jett, Omen, Raze, Sage",2
"FURIA","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",2
"FURIA","Fracture","Breach, Brimstone, Chamber, Neon, Sage",2
"FURIA","Haven","Breach, Killjoy, Neon, Omen, Skye",2
"FURIA","Haven","Jett, Killjoy, Omen, Sage, Skye",2
"FUSION","Ascent","Chamber, Fade, KAY/O, Omen, Raze",2
"FUSION","Bind","Brimstone, Chamber, Fade, Raze, Skye",2
"FUSION","Breeze","Chamber, Jett, Reyna, Sova, Viper",2
"FUSION","Icebox","Chamber, Killjoy, Sage, Sova, Viper",2
"FW Esports","Haven","Astra, Breach, Killjoy, Neon, Skye",2
"G2 Esports (Inactive)","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",2
"G2 Esports (Inactive)","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"G2 Esports (Inactive)","Split","Breach, Chamber, Omen, Raze, Sage",2
"G2 Esports (Inactive)","Split","Chamber, Cypher, Omen, Raze, Sage",2
"Gaimin Gladiators","Ascent","Chamber, Fade, KAY/O, Omen, Yoru",2
"Gaimin Gladiators","Haven","Breach, Jett, Killjoy, Omen, Sova",2
"Gambit Esports","Icebox","Jett, KAY/O, Sage, Sova, Viper",2
"Gamelanders Blue","Bind","Astra, Jett, KAY/O, Sova, Viper",2
"Gamelanders Blue","Breeze","Cypher, KAY/O, Neon, Sova, Viper",2
"Gamelanders Blue","Fracture","Breach, Brimstone, Chamber, Fade, Raze",2
"Gamelanders Blue","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"Gamelanders Blue","Split","Astra, Cypher, Jett, Skye, Viper",2
"Gamelanders Blue","Split","Chamber, Omen, Raze, Skye, Viper",2
"Ghost Gaming","Fracture","Breach, Brimstone, Chamber, Raze, Sage",2
"Griffin E-Sports","Bind","Breach, Brimstone, Raze, Sage, Skye",2
"Griffin E-Sports","Haven","Breach, Chamber, Neon, Omen, Skye",2
"Guild Esports","Ascent","Astra, Chamber, Fade, KAY/O, Raze",2
"Guild Esports","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"Guild Esports","Bind","Astra, Fade, Raze, Skye, Viper",2
"Guild Esports","Bind","Astra, Jett, Skye, Sova, Viper",2
"Guild Esports","Breeze","Cypher, Jett, KAY/O, Sova, Viper",2
"Guild Esports","Haven","Astra, Chamber, Jett, Skye, Sova",2
"Guild Esports","Icebox","Jett, KAY/O, Sage, Sova, Viper",2
"Guild Esports","Split","Breach, Cypher, Omen, Raze, Sage",2
"Hexad","Ascent","Astra, Jett, Killjoy, Reyna, Sova",2
"HolyMolly","Bind","Brimstone, Chamber, Sage, Skye, Viper",2
"HolyMolly","Fracture","Breach, Brimstone, Cypher, Neon, Sage",2
"HolyMolly","Haven","Astra, Breach, Chamber, Neon, Skye",2
"HolyMolly","Haven","Astra, Breach, Jett, Killjoy, Sova",2
"HolyMolly","Haven","Breach, Jett, Killjoy, Omen, Sova",2
"IGZIST","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"IGZIST","Bind","Breach, Brimstone, Chamber, Raze, Sova",2
"IGZIST","Haven","Astra, Breach, Chamber, Jett, Skye",2
"INGAMING Esports","Ascent","Astra, Cypher, Jett, KAY/O, Sova",2
"INGAMING Esports","Icebox","Jett, Killjoy, Sage, Sova, Viper",2
"IXA","Haven","Astra, Breach, Chamber, Jett, Sova",2
"Jadeite","Haven","Astra, Breach, Jett, Killjoy, Sova",2
"Keyd Stars","Ascent","Astra, Jett, Killjoy, Sage, Sova",2
"Keyd Stars","Ascent","Breach, Chamber, Fade, Omen, Raze",2
"Keyd Stars","Breeze","Chamber, Jett, KAY/O, Sova, Viper",2
"Keyd Stars","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"Knights","Bind","Astra, Jett, Raze, Sova, Viper",2
"Knights","Haven","Astra, Jett, Killjoy, Skye, Sova",2
"KRÜ Esports","Ascent","Chamber, Jett, KAY/O, Omen, Sova",2
"KRÜ Esports","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"KRÜ Esports","Bind","Astra, Raze, Sage, Skye, Viper",2
"KRÜ Esports","Breeze","Chamber, KAY/O, Neon, Sova, Viper",2
"KRÜ Esports","Fracture","Breach, Brimstone, Chamber, Jett, Sage",2
"KRÜ Esports","Fracture","Breach, Brimstone, Chamber, Raze, Sage",2
"KRÜ Esports","Split","Astra, Chamber, Raze, Skye, Viper",2
"KRÜ Esports","Split","Cypher, Jett, Omen, Raze, Sage",2
"LDN UTD","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",2
"LDN UTD","Split","Astra, Cypher, KAY/O, Raze, Sage",2
"Leviatán","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",2
"Leviatán","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"Leviatán","Bind","Astra, Raze, Skye, Sova, Viper",2
"Leviatán","Breeze","Chamber, KAY/O, Neon, Sova, Viper",2
"Leviatán","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",2
"Leviatán","Fracture","Breach, Brimstone, Cypher, Jett, Raze",2
"Leviatán","Haven","Breach, Chamber, Neon, Omen, Skye",2
"Liberty","Ascent","Chamber, Fade, KAY/O, Omen, Raze",2
"Liberty","Haven","Breach, Chamber, Omen, Raze, Skye",2
"Liberty","Split","Chamber, Omen, Raze, Sage, Skye",2
"LOUD","Breeze","Cypher, Jett, Skye, Sova, Viper",2
"LOUD","Fracture","Chamber, Fade, Omen, Raze, Viper",2
"LOUD","Icebox","Chamber, Jett, Sage, Sova, Viper",2
"LOUD","Split","Astra, Breach, Fade, Raze, Viper",2
"Luminosity Gaming","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"Luminosity Gaming","Bind","Astra, Chamber, Raze, Sova, Viper",2
"Luminosity Gaming","Bind","Brimstone, Chamber, Raze, Sage, Sova",2
"Luminosity Gaming","Bind","Brimstone, Chamber, Raze, Skye, Viper",2
"Luminosity Gaming","Fracture","Breach, Brimstone, Chamber, Cypher, Raze",2
"Luminosity Gaming","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",2
"Luminosity Gaming","Fracture","Breach, Brimstone, Chamber, KAY/O, Raze",2
"Luminosity Gaming","Split","Astra, Cypher, Raze, Sage, Skye",2
"Luminosity Gaming","Split","Cypher, Jett, Omen, Raze, Sage",2
"M3 Champions","Ascent","Astra, Chamber, Fade, KAY/O, Sova",2
"M3 Champions","Bind","Brimstone, Fade, Raze, Skye, Viper",2
"M3 Champions","Breeze","Cypher, Jett, KAY/O, Sova, Viper",2
"M3 Champions","Haven","Chamber, Jett, KAY/O, Omen, Sova",2
"M3 Champions","Split","Astra, Breach, Chamber, KAY/O, Neon",2
"Made in Thailand","Breeze","Chamber, Jett, KAY/O, Sova, Viper",2
"Made in Thailand","Haven","Astra, Breach, Jett, Killjoy, Sova",2
"Made in Thailand","Haven","Astra, Jett, Killjoy, Skye, Sova",2
"Made in Thailand","Haven","Breach, Chamber, Neon, Omen, Sova",2
"Made in Thailand","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"Maru Gaming","Ascent","Astra, Fade, Jett, KAY/O, Omen",2
"Maru Gaming","Bind","Breach, Brimstone, Chamber, Fade, Neon",2
"Maru Gaming","Split","Breach, Chamber, Neon, Omen, Sage",2
"Meta Gaming","Haven","Astra, Cypher, Jett, KAY/O, Sova",2
"MIBR","Ascent","Chamber, Fade, KAY/O, Omen, Raze",2
"Movistar Optix","Bind","Brimstone, Chamber, Raze, Skye, Viper",2
"Movistar Optix","Haven","Astra, Breach, Cypher, Jett, Sova",2
"Movistar Optix","Haven","Astra, Jett, Killjoy, Skye, Sova",2
"Movistar Optix","Icebox","Chamber, Reyna, Sage, Sova, Viper",2
"Natus Vincere","Bind","Astra, Jett, KAY/O, Sova, Viper",2
"Natus Vincere","Bind","Chamber, Omen, Raze, Skye, Viper",2
"Natus Vincere","Breeze","Cypher, Jett, KAY/O, Sova, Viper",2
"Natus Vincere","Breeze","Cypher, Jett, Skye, Sova, Viper",2
"Natus Vincere","Fracture","Chamber, Fade, Omen, Raze, Viper",2
"Natus Vincere","Haven","Astra, Cypher, Jett, KAY/O, Skye",2
"Natus Vincere","Icebox","Chamber, KAY/O, Sage, Sova, Viper",2
"Natus Vincere","Icebox","Jett, KAY/O, Sage, Sova, Viper",2
"Ninjas in Pyjamas","Ascent","Jett, Killjoy, Omen, Reyna, Sova",2
"Ninjas in Pyjamas","Breeze","Cypher, Jett, KAY/O, Sova, Viper",2
"Ninjas in Pyjamas","Icebox","Chamber, Fade, KAY/O, Sage, Viper",2
"No Namers","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"No Namers","Haven","Brimstone, Chamber, Jett, Skye, Sova",2
"NORTHEPTION","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",2
"NORTHEPTION","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",2
"NORTHEPTION","Bind","Breach, Brimstone, Chamber, Fade, Neon",2
"NORTHEPTION","Breeze","Chamber, Jett, Skye, Sova, Viper",2
"NORTHEPTION","Fracture","Astra, Breach, Chamber, Raze, Viper",2
