"Team","Map","Comp","Picks"
"Natus Vincere","Bind","Chamber, Fade, Omen, Skye, Viper",1
"Natus Vincere","Fracture","Breach, Brimstone, Chamber, Neon, Raze",1
"Natus Vincere","Haven","Breach, Chamber, Fade, Neon, Omen",1
"Natus Vincere","Icebox","Chamber, Fade, KAY/O, Sage, Viper",1
"Natus Vincere","Icebox","Chamber, Killjoy, Sage, Sova, Viper",1
"Natus Vincere","Split","Astra, KAY/O, Killjoy, Raze, Viper",1
"Natus Vincere","Split","Breach, Cypher, Omen, Raze, Sage",1
"Next eSports","Bind","Astra, Breach, Jett, Raze, Skye",1
"Next eSports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Next eSports","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"Next eSports","Icebox","Chamber, Omen, Reyna, Sova, Viper",1
"Ninjas in Pyjamas","Ascent","Astra, Jett, Killjoy, Sage, Sova",1
"Ninjas in Pyjamas","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",1
"Ninjas in Pyjamas","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"Ninjas in Pyjamas","Ascent","Jett, Killjoy, Omen, Sage, Sova",1
"Ninjas in Pyjamas","Bind","Astra, Jett, Skye, Sova, Viper",1
"Ninjas in Pyjamas","Bind","Breach, Brimstone, Chamber, Fade, Neon",1
"Ninjas in Pyjamas","Bind","Brimstone, Jett, Raze, Sage, Skye",1
"Ninjas in Pyjamas","Fracture","Astra, Cypher, Jett, KAY/O, Sage",1
"Ninjas in Pyjamas","Fracture","Brimstone, Chamber, Fade, KAY/O, Neon",1
"Ninjas in Pyjamas","Icebox","Chamber, Reyna, Sage, Sova, Viper",1
"No Namers","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"NORTHEPTION","Ascent","Astra, Fade, Jett, KAY/O, Killjoy",1
"NORTHEPTION","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",1
"NORTHEPTION","Bind","Brimstone, Chamber, Raze, Skye, Viper",1
"NORTHEPTION","Icebox","Chamber, Jett, KAY/O, Sova, Viper",1
"NORTHEPTION","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"NRG Esports","Ascent","Astra, Chamber, Fade, KAY/O, Sova",1
"NRG Esports","Bind","Astra, Breach, Chamber, Fade, Neon",1
"NRG Esports","Bind","Astra, Fade, Raze, Sage, Skye",1
"NRG Esports","Bind","Astra, Jett, Skye, Sova, Viper",1
"NRG Esports","Bind","Brimstone, Chamber, Fade, Raze, Skye",1
"NRG Esports","Bind","Brimstone, Fade, Raze, Sage, Skye",1
"NRG Esports","Bind","Brimstone, Raze, Sage, Skye, Viper",1
"NRG Esports","Breeze","Breach, Chamber, KAY/O, Sova, Viper",1
"NRG Esports","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"NRG Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"NRG Esports","Haven","Astra, Chamber, Jett, KAY/O, Sova",1
"NRG Esports","Haven","Breach, Chamber, Fade, Omen, Yoru",1
"NRG Esports","Haven","KAY/O, Killjoy, Omen, Sova, Yoru",1
"NRG Esports","Icebox","Chamber, Jett, Reyna, Sova, Viper",1
"Oasis Gaming","Ascent","Astra, KAY/O, Killjoy, Raze, Sova",1
"Oasis Gaming","Bind","Brimstone, Raze, Sage, Skye, Viper",1
"Oasis Gaming","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Oasis Gaming","Icebox","KAY/O, Killjoy, Raze, Sova, Viper",1
"OG LDN UTD","Ascent","Chamber, Fade, KAY/O, Omen, Sage",1
"OG LDN UTD","Ascent","Fade, Jett, KAY/O, Omen, Sage",1
"OG LDN UTD","Bind","Breach, Brimstone, Chamber, Fade, Neon",1
"OG LDN UTD","Breeze","Chamber, Cypher, KAY/O, Sova, Viper",1
"OG LDN UTD","Breeze","Chamber, KAY/O, Omen, Sova, Viper",1
"OG LDN UTD","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"OG LDN UTD","Haven","Breach, Chamber, Fade, Omen, Raze",1
"OG LDN UTD","Haven","Breach, Jett, Killjoy, Omen, Sova",1
"OG LDN UTD","Icebox","Chamber, Fade, Sage, Sova, Viper",1
"OG LDN UTD","Split","Breach, Chamber, Omen, Raze, Sage",1
"Onic Esports","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"Onic Esports","Fracture","Breach, Brimstone, Chamber, Fade, Neon",1
"Onic Esports","Fracture","Brimstone, Chamber, Fade, KAY/O, Neon",1
"Onic Esports","Split","Breach, Cypher, Omen, Raze, Skye",1
"On Sla2ers","Ascent","Astra, Chamber, Fade, Omen, Skye",1
"On Sla2ers","Ascent","Astra, Cypher, Jett, KAY/O, Sova",1
"On Sla2ers","Bind","Astra, Jett, Raze, Skye, Viper",1
"On Sla2ers","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",1
"On Sla2ers","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"On Sla2ers","Haven","Astra, Breach, Fade, Jett, Killjoy",1
"On Sla2ers","Icebox","Astra, Breach, Brimstone, Cypher, Killjoy",1
"On Sla2ers","Icebox","Chamber, Jett, Reyna, Sova, Viper",1
"On Sla2ers","Split","Breach, Brimstone, Neon, Phoenix, Reyna",1
"On Sla2ers","Split","Breach, Jett, Killjoy, Omen, Skye",1
"OpTic Gaming","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"OpTic Gaming","Ascent","Breach, Chamber, KAY/O, Neon, Omen",1
"OpTic Gaming","Bind","Astra, Breach, Chamber, Neon, Skye",1
"OpTic Gaming","Breeze","Breach, Chamber, Neon, Sova, Viper",1
"OpTic Gaming","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"OpTic Gaming","Haven","Astra, Breach, Chamber, Fade, Raze",1
"OpTic Gaming","Haven","Astra, Breach, Chamber, Neon, Sova",1
"OpTic Gaming","Haven","Breach, Brimstone, Chamber, Neon, Skye",1
"OpTic Gaming","Icebox","Chamber, KAY/O, Neon, Sova, Viper",1
"OpTic Gaming","Split","Breach, Chamber, Omen, Raze, Viper",1
"ORDER","Ascent","Fade, Jett, KAY/O, Killjoy, Omen",1
"ORDER","Ascent","Fade, Jett, KAY/O, Omen, Raze",1
"ORDER","Bind","Brimstone, Chamber, Fade, Raze, Skye",1
"ORDER","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",1
"ORDER","Fracture","Breach, Brimstone, Chamber, Neon, Sage",1
"ORDER","Icebox","Chamber, Fade, Killjoy, Sage, Viper",1
"ORDER","Split","Astra, Breach, Cypher, Raze, Skye",1
"PAMPAS","Ascent","Fade, KAY/O, Killjoy, Omen, Raze",1
"PAMPAS","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"PAMPAS","Bind","Breach, Brimstone, Chamber, Fade, Raze",1
"PAMPAS","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"PAMPAS","Split","Breach, Cypher, Omen, Raze, Sage",1
"Paper Rex","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"Paper Rex","Breeze","Astra, Breach, Fade, Neon, Yoru",1
"Paper Rex","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Paper Rex","Breeze","Chamber, Jett, Reyna, Sova, Viper",1
"Paper Rex","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Paper Rex","Haven","Cypher, Jett, Omen, Raze, Skye",1
"Paper Rex","Haven","Cypher, Jett, Omen, Sage, Skye",1
"Paper Rex","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Paper Rex","Split","Chamber, Cypher, Fade, Omen, Raze",1
"Pentagon","Bind","Astra, Cypher, Raze, Skye, Sova",1
"Pentagon","Haven","Astra, Breach, Chamber, Jett, Skye",1
"Pentagon","Split","Astra, Chamber, Jett, Skye, Viper",1
"Persija Esports","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"Persija Esports","Bind","Brimstone, Chamber, Jett, Raze, Sova",1
"Persija Esports","Haven","Astra, Jett, Killjoy, Raze, Sova",1
"Persija Esports","Haven","Breach, Cypher, Jett, Omen, Sova",1
"Persija Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Rebellion Arts","Ascent","Astra, Jett, Killjoy, Skye, Sova",1
"Rebellion Arts","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Reignite","Bind","Astra, Jett, Skye, Sova, Viper",1
"Reignite","Bind","Breach, Brimstone, Jett, Raze, Sova",1
"Reignite","Breeze","Breach, Fade, Killjoy, Raze, Viper",1
"Reignite","Fracture","Breach, Cypher, Jett, Omen, Sage",1
"Reignite","Haven","Breach, Jett, Killjoy, Omen, Skye",1
"Reignite","Icebox","Jett, KAY/O, Sage, Sova, Viper",1
"Reignite","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Reignite","Split","Astra, Breach, Jett, Killjoy, Viper",1
"REJECT","Ascent","Astra, Jett, Killjoy, Sage, Sova",1
"REJECT","Ascent","Breach, Chamber, Fade, Omen, Yoru",1
"REJECT","Ascent","Chamber, Fade, Jett, Omen, Sage",1
"REJECT","Bind","Breach, Brimstone, Chamber, Fade, Neon",1
"REJECT","Breeze","Astra, Chamber, Reyna, Sova, Viper",1
"REJECT","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"REJECT","Haven","Astra, Jett, Sage, Skye, Sova",1
"REJECT","Haven","Breach, Chamber, Fade, Raze, Raze",1
"REJECT","Icebox","Chamber, Killjoy, Sage, Sova, Viper",1
"REJECT","Split","Astra, Chamber, KAY/O, Raze, Sage",1
"Rex Regum Qeon","Ascent","Fade, Killjoy, Omen, Raze, Sova",1
"Rex Regum Qeon","Bind","Astra, Breach, Cypher, Fade, Raze",1
"Rex Regum Qeon","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Rex Regum Qeon","Icebox","Chamber, Jett, KAY/O, Sova, Viper",1
"Rise","Bind","Astra, Jett, Raze, Sova, Viper",1
"Rise","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Rise","Haven","Cypher, Jett, KAY/O, Omen, Sova",1
"SCARZ","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"SchwarzerLand","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"SchwarzerLand","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Sengoku Gaming","Ascent","Astra, Cypher, Jett, Neon, Skye",1
"Sengoku Gaming","Bind","Brimstone, Chamber, Fade, Raze, Skye",1
"Sengoku Gaming","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Sengoku Gaming","Fracture","Astra, Breach, Chamber, Neon, Raze",1
"Sengoku Gaming","Haven","Jett, Killjoy, Omen, Reyna, Skye",1
"Sengoku Gaming","Icebox","Fade, Jett, KAY/O, Reyna, Viper",1
"Sentinels","Ascent","Astra, Chamber, Fade, KAY/O, Sova",1
"Sentinels","Ascent","Chamber, Jett, KAY/O, Omen, Sova",1
"Sentinels","Bind","Brimstone, Jett, Raze, Sova, Viper",1
"Sentinels","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"Sentinels","Fracture","Astra, Breach, Chamber, Raze, Sage",1
"Sentinels","Fracture","Breach, Brimstone, Chamber, Neon, Sage",1
"Sentinels","Fracture","Breach, Brimstone, Chamber, Raze, Viper",1
"Sentinels","Fracture","Breach, Brimstone, Chamber, Sage, Yoru",1
"Sentinels","Haven","Astra, Cypher, Jett, Skye, Sova",1
"Sentinels","Haven","Breach, Chamber, Fade, KAY/O, Omen",1
"Sentinels","Icebox","Chamber, Jett, Omen, Sova, Viper",1
"Sentinels","Icebox","Chamber, KAY/O, Sage, Sova, Viper",1
"SETOUCHI ENLIFE","Breeze","Jett, Killjoy, Skye, Sova, Viper",1
"SETOUCHI ENLIFE","Icebox","Chamber, Jett, Raze, Sova, Viper",1
"Sharks Esports","Ascent","Astra, Cypher, Jett, KAY/O, Sova",1
"Sharks Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"Sharks Esports","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"Sharks Esports","Haven","Astra, Jett, KAY/O, Killjoy, Sova",1
"Sharks Esports","Icebox","Jett, Killjoy, Sage, Sova, Viper",1
"Shopify Rebellion","Ascent","Chamber, Fade, KAY/O, Omen, Sage",1
"Shopify Rebellion","Breeze","Chamber, KAY/O, Sova, Viper, Yoru",1
"South Built Esports","Ascent","Astra, Jett, Killjoy, Skye, Sova",1
"South Built Esports","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"South Built Esports","Split","Cypher, Jett, Omen, Raze, Sage",1
"Spear Gaming","Ascent","Chamber, Fade, KAY/O, Omen, Raze",1
"Spear Gaming","Ascent","Chamber, Fade, KAY/O, Omen, Sage",1
"Spear Gaming","Bind","Astra, Jett, Skye, Sova, Viper",1
"Spear Gaming","Bind","Brimstone, Chamber, Fade, KAY/O, Raze",1
"Spear Gaming","Bind","Brimstone, Chamber, Fade, Raze, Viper",1
"Spear Gaming","Bind","Brimstone, Cypher, Fade, KAY/O, Raze",1
"Spear Gaming","Breeze","Chamber, KAY/O, Sova, Viper, Yoru",1
"Spear Gaming","Fracture","Astra, Breach, Chamber, Raze, Sage",1
"Spear Gaming","Fracture","Breach, Brimstone, Chamber, KAY/O, Neon",1
"Spear Gaming","Fracture","Breach, Chamber, Neon, Raze, Viper",1
"Spear Gaming","Haven","Astra, Cypher, Jett, Skye, Sova",1
"Spear Gaming","Haven","Breach, Chamber, Jett, Omen, Sova",1
"Spear Gaming","Icebox","Chamber, Jett, Reyna, Sova, Viper",1
"Spear Gaming","Split","Omen, Raze, Sage, Skye, Viper",1
"Stars Horizon","Ascent","Chamber, Jett, KAY/O, Omen, Sova",1
"Stars Horizon","Bind","Breach, Brimstone, Chamber, Fade, Neon",1
"Stars Horizon","Breeze","Cypher, KAY/O, Neon, Sova, Viper",1
"Stars Horizon","Haven","Breach, Chamber, Fade, Neon, Omen",1
"Stars Horizon","Icebox","Chamber, Killjoy, Sage, Sova, Viper",1
"Storks Phalanx","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"Storks Phalanx","Icebox","Chamber, Jett, Reyna, Sova, Viper",1
"SuperMassive","Bind","Astra, Raze, Skye, Sova, Viper",1
"SuperMassive","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"SYSTEM e-Sports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"SYSTEM e-Sports","Haven","Astra, Breach, Jett, Killjoy, Skye",1
"Tartarus","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"Tartarus","Icebox","Chamber, Fade, Jett, KAY/O, Viper",1
"TBK Esports","Ascent","Astra, Breach, Chamber, Jett, Sova",1
"TBK Esports","Ascent","Astra, Chamber, Fade, KAY/O, Raze",1
"TBK Esports","Ascent","Brimstone, Jett, Killjoy, Skye, Sova",1
"TBK Esports","Bind","Brimstone, Raze, Reyna, Sage, Skye",1
"TBK Esports","Bind","Brimstone, Raze, Sage, Skye, Viper",1
"TBK Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"TBK Esports","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"TBK Esports","Haven","Breach, Brimstone, Chamber, Jett, Sova",1
"TBK Esports","Haven","Breach, Chamber, Neon, Omen, Skye",1
"Team GP","Bind","Astra, Jett, Killjoy, Raze, Sova",1
"Team GP","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Team Liquid","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"Team Liquid","Bind","Astra, Chamber, KAY/O, Neon, Sova",1
"Team Liquid","Bind","Breach, Cypher, Sage, Sova, Viper",1
"Team Liquid","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"Team Liquid","Breeze","Chamber, KAY/O, Skye, Sova, Viper",1
"Team Liquid","Fracture","Astra, Breach, Chamber, Raze, Sage",1
"Team Liquid","Icebox","Chamber, Reyna, Sage, Sova, Viper",1
"Team Liquid","Pearl","Astra, Chamber, Fade, Phoenix, Viper",1
"Team Secret","Ascent","Astra, Chamber, Jett, KAY/O, Sova",1
"Team Secret","Bind","Brimstone, Killjoy, Raze, Sova, Yoru",1
"Team Secret","Fracture","Breach, Brimstone, Chamber, KAY/O, Raze",1
"Team Secret","Icebox","Breach, Chamber, Fade, Omen, Yoru",1
"Team T5","Ascent","Astra, KAY/O, Killjoy, Reyna, Sova",1
"Team T5","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"Team T5","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Team T5","Split","Astra, Jett, KAY/O, Raze, Sage",1
"Team Vikings","Ascent","Breach, Jett, Killjoy, Omen, Sova",1
"Team Vikings","Bind","Astra, Raze, Sage, Skye, Viper",1
"Team Vikings","Icebox","Chamber, Reyna, Sage, Sova, Viper",1
"Team Vikings","Icebox","Jett, Killjoy, Omen, Sova, Viper",1
"Team Vikings","Icebox","Jett, Reyna, Sage, Sova, Viper",1
"Team Vikings","Split","Astra, Killjoy, Raze, Sage, Skye",1
"The Guard","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"The Guard","Ascent","Astra, Jett, Killjoy, Sage, Sova",1
"The Guard","Ascent","Breach, Chamber, Jett, Omen, Sova",1
"The Guard","Ascent","Jett, KAY/O, Killjoy, Omen, Sova",1
"The Guard","Bind","Astra, KAY/O, Raze, Sova, Viper",1
"The Guard","Bind","Brimstone, Chamber, Raze, Skye, Viper",1
"The Guard","Fracture","Astra, Breach, Chamber, Raze, Viper",1
"The Guard","Fracture","Breach, Brimstone, Chamber, Jett, Viper",1
"The Guard","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"The Guard","Haven","Astra, Breach, Fade, Jett, Killjoy",1
"The Guard","Haven","Breach, Jett, Killjoy, Omen, Skye",1
"The Guard","Haven","Jett, Killjoy, Omen, Skye, Sova",1
"The Guard","Split","Astra, Chamber, Raze, Skye, Viper",1
"The Guard","Split","Breach, Cypher, Omen, Raze, Sage",1
"TRIDENT","Fracture","Astra, Breach, Chamber, Raze, Skye",1
"TRIDENT","Split","Astra, Chamber, KAY/O, Raze, Skye",1
"TSM","Ascent","Astra, Chamber, Fade, Raze, Sova",1
"TSM","Breeze","Chamber, Fade, Jett, Sova, Viper",1
"TSM","Breeze","Cypher, Jett, Skye, Sova, Viper",1
"TSM","Haven","Astra, Breach, Chamber, Jett, Phoenix",1
"TSM","Icebox","Chamber, Omen, Sage, Sova, Viper",1
"TSM","Split","Astra, Chamber, Jett, Raze, Skye",1
"Velocity Gaming","Icebox","Jett, KAY/O, Sage, Sova, Viper",1
"Velocity Gaming","Split","Breach, Jett, Killjoy, Omen, Raze",1
"Veronica7","Ascent","Astra, Jett, Killjoy, Skye, Sova",1
"Veronica7","Bind","Astra, Breach, Chamber, Raze, Skye",1
"Veronica7","Fracture","Astra, Breach, Cypher, Raze, Sage",1
"Veronica7","Haven","Astra, Breach, Cypher, Jett, Skye",1
"Veronica7","Split","Astra, Breach, Chamber, Raze, Sage",1
"Version1 (Inactive)","Bind","Brimstone, Jett, Raze, Sova, Viper",1
"Version1 (Inactive)","Haven","Astra, Breach, Chamber, Jett, Skye",1
"Version1 (Inactive)","Haven","Astra, Breach, Chamber, Jett, Sova",1
"Version1 (Inactive)","Haven","Breach, Chamber, Jett, KAY/O, Omen",1
"Version1 (Inactive)","Haven","Breach, Jett, KAY/O, Killjoy, Omen",1
"Version1 (Inactive)","Icebox","Chamber, Jett, Sage, Sova, Viper",1
"Version1 (Inactive)","Icebox","Jett, KAY/O, Sage, Sova, Viper",1
"Version1 (Inactive)","Icebox","Jett, Killjoy, Sage, Sova, Viper",1
"VPZ","Bind","Astra, Jett, Killjoy, Reyna, Skye",1
"VPZ","Split","Astra, Breach, Chamber, Raze, Reyna",1
"World Game Star","Ascent","Astra, Chamber, Jett, KAY/O, Sova",1
"World Game Star","Ascent","Astra, Chamber, Jett, Skye, Sova",1
"World Game Star","Ascent","Brimstone, Jett, KAY/O, Reyna, Sova",1
"World Game Star","Bind","Astra, Neon, Reyna, Sage, Skye",1
"World Game Star","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"World Game Star","Haven","Astra, Jett, KAY/O, Killjoy, Sova",1
"World Game Star","Haven","Breach, Fade, Jett, Killjoy, Omen",1
"World Game Star","Haven","Breach, Fade, Omen, Raze, Reyna",1
"World Game Star","Haven","Breach, Jett, Killjoy, Omen, Sova",1
"World Game Star","Icebox","Chamber, Fade, Raze, Sage, Viper",1
"World Game Star","Split","Chamber, Jett, KAY/O, Omen, Sage",1
"XERXIA Esports","Ascent","Breach, Fade, Jett, Killjoy, Omen",1
"XERXIA Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"XERXIA Esports","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"XERXIA Esports","Fracture","Breach, Brimstone, Chamber, Jett, Raze",1
"XERXIA Esports","Fracture","Breach, Chamber, Omen, Phoenix, Viper",1
"XERXIA Esports","Haven","Breach, Chamber, Neon, Omen, Skye",1
"XERXIA Esports","Icebox","Astra, Chamber, Sova, Viper, Yoru",1
"XERXIA Esports","Icebox","Chamber, Jett, Omen, Sova, Viper",1
"XERXIA Esports","Split","Breach, Chamber, Fade, Omen, Raze",1
"XERXIA Esports","Split","Breach, KAY/O, Killjoy, Omen, Raze",1
"XSET","Ascent","Brimstone, Cypher, Jett, Sage, Sova",1
"XSET","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"XSET","Fracture","Breach, Brimstone, Chamber, Neon, Sage",1
"XSET","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"XSET","Haven","Astra, Cypher, Jett, Skye, Sova",1
"XSET","Haven","Breach, Chamber, Fade, Omen, Raze",1
"XSET","Haven","Brimstone, Cypher, Jett, Skye, Sova",1
"XSET","Icebox","Chamber, Fade, KAY/O, Raze, Viper",1
"XSET","Icebox","Chamber, Jett, Raze, Sova, Viper",1
"XSET","Split","Astra, Breach, Chamber, Raze, Sage",1
"XSET","Split","Chamber, Omen, Raze, Sage, Viper",1
"ZETA DIVISION","Ascent","Astra, Chamber, Jett, Killjoy, Sova",1
"ZETA DIVISION","Ascent","Astra, Fade, Jett, KAY/O, Killjoy",1
"ZETA DIVISION","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"ZETA DIVISION","Bind","Breach, Brimstone, Jett, Raze, Skye",1
"ZETA DIVISION","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"ZETA DIVISION","Fracture","Astra, Breach, Chamber, Jett, Raze",1
"ZETA DIVISION","Haven","Chamber, Fade, KAY/O, Neon, Omen",1
"ZETA DIVISION","Icebox","Chamber, Fade, Sage, Sova, Viper",1
"ZETA DIVISION","Pearl","Chamber, Omen, Raze, Skye, Viper",1