"Team","Map","Wins","Losses","Atk Round Wins","Atk Round Losses","Atk Round Win Percentage","Def Round Wins","Def Round Losses","Def Round Win Percentage"
"Knights","Split",0,1,3,6,"33.00",5,7,"42.00"
"NAOS Esports","Ascent",0,1,4,8,"33.00",0,5,"0.00"
"NAOS Esports","Icebox",0,1,0,6,"0.00",5,7,"42.00"
"EBRO Gaming","Fracture",0,1,6,6,"50.00",2,7,"22.00"
"The Guard","Fracture",3,4,29,40,"42.00",42,37,"53.00"
"Veronica7","Split",0,1,5,7,"42.00",3,6,"33.00"
"SchwarzerLand","Icebox",0,1,3,9,"25.00",4,4,"50.00"
"Movistar Optix","Bind",3,4,42,39,"52.00",27,43,"39.00"
"Team Secret","Fracture",0,1,4,8,"33.00",7,5,"58.00"
"Shopify Rebellion","Ascent",0,1,6,6,"50.00",4,7,"36.00"
"Persija Esports","Haven",2,3,24,32,"43.00",26,33,"44.00"
"TSM","Split",1,2,17,18,"49.00",18,20,"47.00"
"Team Secret","Bind",1,2,8,13,"38.00",12,22,"35.00"
"Sharks Esports","Icebox",1,2,16,14,"53.00",12,21,"36.00"
"Sengoku Gaming","Haven",1,2,11,17,"39.00",15,12,"56.00"
"Oasis Gaming","Breeze",0,1,3,5,"38.00",4,8,"33.00"
"Team GP","Breeze",0,1,0,4,"0.00",3,9,"25.00"
"DetonatioN Gaming White","Fracture",0,1,2,7,"22.00",6,6,"50.00"
"FUSION","Haven",0,1,3,9,"25.00",1,4,"20.00"
"INGAMING Esports","Breeze",1,2,18,16,"53.00",13,19,"41.00"
"BLUE BEES.ESP","Breeze",0,1,5,7,"42.00",6,6,"50.00"
"DRX","Icebox",3,4,40,32,"56.00",31,37,"46.00"
"FW Esports","Breeze",0,1,6,5,"55.00",4,8,"33.00"
"Sengoku Gaming","Bind",0,1,4,7,"36.00",6,6,"50.00"
"Focus e-Sports","Bind",0,1,0,4,"0.00",3,9,"25.00"
"GoNGo Prince","Bind",0,1,6,7,"46.00",6,7,"46.00"
"100 Thieves","Ascent",3,4,23,51,"31.00",36,22,"62.00"
"Onic Esports","Icebox",4,5,50,47,"52.00",48,51,"48.00"
"IGZIST","Icebox",0,1,3,9,"25.00",1,4,"20.00"
"E-Xolos LAZER","Fracture",1,2,9,27,"25.00",14,9,"61.00"
"NAOS Esports","Breeze",0,1,1,5,"17.00",4,8,"33.00"
"GoNGo Prince","Fracture",0,1,3,9,"25.00",3,4,"43.00"
"Guild Esports","Ascent",2,3,20,27,"43.00",29,31,"48.00"
"FAV gaming","Bind",2,3,20,21,"49.00",27,32,"46.00"
"AWS","Haven",0,1,1,11,"8.00",0,2,"0.00"
"SETOUCHI ENLIFE","Breeze",0,1,4,4,"50.00",3,9,"25.00"
"Meta Gaming","Breeze",0,1,1,10,"9.00",9,3,"75.00"
"BOOM Esports","Fracture",4,5,62,53,"54.00",35,45,"44.00"
"Pentagon","Bind",0,1,0,2,"0.00",1,11,"8.00"
"South Built Esports","Split",0,1,4,4,"50.00",3,9,"25.00"
"EDward Gaming","Breeze",0,1,5,8,"38.00",7,6,"54.00"
"Veronica7","Haven",0,1,2,10,"17.00",4,3,"57.00"
"Griffin E-Sports","Ascent",1,2,14,15,"48.00",18,18,"50.00"
"Team GP","Ascent",0,1,4,8,"33.00",4,5,"44.00"
"Ghost Gaming","Ascent",0,1,2,10,"17.00",6,3,"67.00"
"Rise","Haven",1,2,16,20,"44.00",12,15,"44.00"
"Next eSports","Icebox",0,1,2,10,"17.00",2,3,"40.00"
"Team Vikings","Icebox",1,2,17,16,"52.00",7,18,"28.00"
"Made in Thailand","Ascent",2,3,22,28,"44.00",30,37,"45.00"
"Sengoku Gaming","Breeze",0,1,0,8,"0.00",7,5,"58.00"
"DeToNator","Haven",0,1,5,7,"42.00",5,6,"45.00"
"REJECT","Fracture",0,1,7,5,"58.00",2,8,"20.00"
"FENNEL","Breeze",0,1,0,7,"0.00",6,6,"50.00"
"Evil Geniuses","Fracture",0,1,4,6,"40.00",5,7,"42.00"
"Keyd Stars","Fracture",2,3,23,29,"44.00",29,26,"53.00"
"NRG Esports","Breeze",2,3,27,27,"50.00",19,32,"37.00"
"Spear Gaming","Haven",2,3,17,31,"35.00",22,28,"44.00"
"Fancy United Esports","Bind",0,1,8,4,"67.00",2,9,"18.00"
"M3 Champions","Haven",0,1,4,3,"57.00",2,10,"17.00"
"LOUD","Pearl",0,1,3,9,"25.00",0,4,"0.00"
"M3 Champions","Split",1,2,14,23,"38.00",29,17,"63.00"
"Liberty","Breeze",0,1,6,6,"50.00",3,7,"30.00"
"FURIA","Split",1,2,7,19,"27.00",20,16,"56.00"
"ORDER","Bind",0,1,2,5,"29.00",4,8,"33.00"
"Maru Gaming","Split",4,5,37,45,"45.00",41,48,"46.00"
"EBRO Gaming","Ascent",1,2,12,20,"38.00",17,13,"57.00"
"Global Esports","Split",0,1,2,3,"40.00",2,10,"17.00"
"Next eSports","Breeze",0,1,1,6,"14.00",5,7,"42.00"
"Next eSports","Haven",0,1,4,7,"36.00",6,6,"50.00"
"Mariner","Breeze",0,1,5,7,"42.00",3,6,"33.00"
"FUSION","Split",0,1,1,6,"14.00",5,7,"42.00"
"VPZ","Haven",0,1,0,3,"0.00",2,10,"17.00"
"Reignite","Fracture",0,1,1,5,"17.00",4,8,"33.00"
"VPZ","Bind",0,1,3,5,"38.00",4,8,"33.00"
"K2 eSports","Ascent",0,1,2,6,"25.00",5,7,"42.00"
"TSM","Icebox",0,1,3,5,"38.00",4,8,"33.00"
"Alter Ego","Icebox",1,2,7,13,"35.00",18,18,"50.00"
"AWS","Ascent",0,1,3,3,"50.00",2,10,"17.00"
"VPZ","Split",0,1,2,7,"22.00",6,6,"50.00"
"Velocity Gaming","Split",0,1,0,4,"0.00",3,9,"25.00"
"TRIDENT","Split",0,1,0,12,"0.00",0,1,"0.00"
"Bonkers(OCE)","Fracture",0,1,9,5,"64.00",4,10,"29.00"
"Sentinels","Fracture",4,5,45,54,"45.00",53,62,"46.00"
"Storks Phalanx","Icebox",0,1,7,5,"58.00",2,8,"20.00"
"OG LDN UTD","Icebox",1,2,10,13,"43.00",12,26,"32.00"
"Stars Horizon","Fracture",1,2,12,20,"38.00",8,19,"30.00"
"SYSTEM e-Sports","Haven",0,1,0,12,"0.00",0,1,"0.00"
"Hexad","Haven",0,1,1,11,"8.00",2,2,"50.00"
"Tartarus","Ascent",0,1,3,4,"43.00",3,9,"25.00"
"Veronica7","Fracture",0,1,5,7,"42.00",1,6,"14.00"
"Guild Esports","Haven",5,6,58,56,"51.00",71,51,"58.00"
"Rex Regum Qeon","Bind",0,1,0,5,"0.00",4,8,"33.00"
"Rex Regum Qeon","Breeze",0,1,7,5,"58.00",4,8,"33.00"
"Persija Esports","Ascent",0,1,8,4,"67.00",3,9,"25.00"
"Gaimin Gladiators","Breeze",0,1,5,5,"50.00",4,8,"33.00"
"Liberty","Haven",1,2,5,18,"22.00",18,18,"50.00"
"EVA:e","Breeze",0,1,6,4,"60.00",3,9,"25.00"
"Jadeite","Split",0,1,6,6,"50.00",2,7,"22.00"
"No Namers","Icebox",0,1,5,7,"42.00",6,6,"50.00"
"MIBR","Breeze",0,1,7,12,"37.00",11,8,"58.00"
"Cloud9","Split",1,2,10,24,"29.00",24,12,"67.00"
"Keyd Stars","Ascent",4,5,44,56,"44.00",59,54,"52.00"
"Griffin E-Sports","Fracture",0,1,0,2,"0.00",1,11,"8.00"
"Pentagon","Haven",0,1,7,6,"54.00",5,8,"38.00"
"Liberty","Fracture",1,2,14,22,"39.00",16,15,"52.00"
"Team GP","Haven",1,2,8,17,"32.00",16,18,"47.00"
"Movistar Optix","Split",0,1,5,4,"56.00",3,9,"25.00"
"EBRO Gaming","Bind",0,1,3,9,"25.00",0,4,"0.00"
"VPZ","Ascent",0,1,4,8,"33.00",1,5,"17.00"
"SchwarzerLand","Ascent",0,1,1,11,"8.00",0,2,"0.00"
"E-Xolos LAZER","Haven",1,2,16,20,"44.00",12,17,"41.00"
"Cloud9","Bind",1,2,9,21,"30.00",20,18,"53.00"
"Oasis Gaming","Icebox",0,1,6,6,"50.00",1,7,"13.00"
"IGZIST","Bind",1,2,16,20,"44.00",3,10,"23.00"
"Brimstone","Haven",0,1,3,9,"25.00",3,4,"43.00"
"CNJ Esports","Fracture",1,2,7,15,"32.00",16,14,"53.00"
"EDward Gaming","Haven",0,1,5,7,"42.00",3,6,"33.00"
"Rex Regum Qeon","Icebox",0,1,3,9,"25.00",2,4,"33.00"
"Reignite","Breeze",0,1,5,7,"42.00",3,6,"33.00"
"Pentagon","Split",0,1,9,4,"69.00",3,10,"23.00"
"Meta Gaming","Split",0,1,4,6,"40.00",5,7,"42.00"
"FAV gaming","Haven",2,3,26,24,"52.00",24,24,"50.00"
"FOKUS","Fracture",1,2,12,29,"29.00",18,13,"58.00"
"Veronica7","Ascent",0,1,2,10,"17.00",1,3,"25.00"
"Team Liquid","Pearl",0,1,0,5,"0.00",4,8,"33.00"
"Gaimin Gladiators","Ascent",1,2,14,17,"45.00",12,19,"39.00"
"MIBR","Ascent",1,2,7,22,"24.00",17,13,"57.00"
"BIG","Icebox",1,2,15,16,"48.00",13,16,"45.00"
"DetonatioN Gaming White","Ascent",0,1,6,6,"50.00",4,7,"36.00"
"Global Esports","Haven",0,1,5,5,"50.00",4,8,"33.00"
"Knights","Icebox",0,1,0,3,"0.00",2,10,"17.00"
"100 Thieves","Split",3,4,27,58,"32.00",46,22,"68.00"
"INGAMING Esports","Icebox",1,2,18,16,"53.00",15,22,"41.00"
"BOOM Esports","Pearl",0,1,7,5,"58.00",4,8,"33.00"
"Insomnia","Icebox",0,1,0,2,"0.00",1,11,"8.00"
"Acend","Fracture",1,2,14,22,"39.00",9,12,"43.00"
"GyoGun","Icebox",0,1,3,9,"25.00",1,4,"20.00"
"9z Team","Haven",6,7,78,81,"49.00",70,70,"50.00"
"Sharks Esports","Ascent",0,1,4,8,"33.00",5,5,"50.00"
"IXA","Icebox",0,1,0,2,"0.00",1,11,"8.00"
"SETOUCHI ENLIFE","Icebox",0,1,1,11,"8.00",0,2,"0.00"
"Crest Gaming ZST","Haven",0,1,0,5,"0.00",4,8,"33.00"
"SuperMassive","Breeze",0,1,0,2,"0.00",1,11,"8.00"
"Persija Esports","Icebox",0,1,3,3,"50.00",2,10,"17.00"
"LDN UTD","Fracture",0,1,2,4,"33.00",3,9,"25.00"
"Global Esports","Bind",0,1,4,8,"33.00",5,5,"50.00"
"Stars Horizon","Icebox",0,1,3,6,"33.00",5,7,"42.00"
"looking for a name","Bind",0,1,6,6,"50.00",4,7,"36.00"
"Acend","Bind",3,4,42,42,"50.00",23,31,"43.00"
"Team Vikings","Split",0,1,4,4,"50.00",3,9,"25.00"
"Crest Gaming ZST","Bind",0,1,2,10,"17.00",3,3,"50.00"
"Oasis Gaming","Ascent",0,1,2,10,"17.00",0,3,"0.00"
"Team T5","Split",0,1,5,7,"42.00",2,6,"25.00"
"Version1 (Inactive)","Bind",0,1,3,8,"27.00",7,5,"58.00"
"FUSION","Bind",1,2,10,26,"28.00",9,11,"45.00"
"BBL Esports","Bind",0,1,7,6,"54.00",5,8,"38.00"
"TSM","Ascent",0,1,4,8,"33.00",6,5,"55.00"
"Global Esports","Fracture",0,1,5,7,"42.00",2,6,"25.00"
"Team T5","Ascent",2,3,28,33,"46.00",25,22,"53.00"
"Tartarus","Icebox",0,1,0,7,"0.00",6,6,"50.00"
"Stars Horizon","Haven",0,1,3,9,"25.00",3,4,"43.00"
"Sengoku Gaming","Ascent",0,1,2,10,"17.00",0,3,"0.00"
"FURIA","Breeze",6,7,75,72,"51.00",61,71,"46.00"
"Meta Gaming","Bind",0,1,6,5,"55.00",4,8,"33.00"
"Ghost Gaming","Icebox",1,2,11,19,"37.00",23,14,"62.00"
"MIBR","Haven",1,2,12,20,"38.00",16,17,"48.00"
"CNJ Esports","Bind",0,1,4,8,"33.00",7,5,"58.00"
"PAMPAS","Split",0,1,4,8,"33.00",5,5,"50.00"
"BBL Esports","Icebox",2,3,22,28,"44.00",23,37,"38.00"
"FUSION","Breeze",2,3,25,32,"44.00",27,26,"51.00"
"TSM","Haven",1,2,21,13,"62.00",11,19,"37.00"
"Meta Gaming","Haven",1,2,8,19,"30.00",8,19,"30.00"
"Knights","Haven",1,2,12,16,"43.00",15,15,"50.00"
"Griffin E-Sports","Haven",1,2,16,16,"50.00",9,17,"35.00"
"OG LDN UTD","Haven",2,3,26,34,"43.00",21,20,"51.00"
"EDward Gaming","Pearl",0,1,5,7,"42.00",6,6,"50.00"
"ORDER","Icebox",0,1,3,9,"25.00",2,4,"33.00"
"Insomnia","Bind",0,1,5,7,"42.00",1,6,"14.00"
"Los Grandes","Fracture",0,1,6,6,"50.00",3,7,"30.00"
"Rebellion Arts","Icebox",0,1,3,9,"25.00",0,4,"0.00"
"Crazy Raccoon","Fracture",0,1,5,6,"45.00",5,7,"42.00"
"FW Esports","Icebox",0,1,1,11,"8.00",2,2,"50.00"
"Liberty","Ascent",1,2,14,16,"47.00",21,15,"58.00"
"Desperado","Split",0,1,4,7,"36.00",6,6,"50.00"
"DeToNator","Breeze",0,1,5,7,"42.00",6,6,"50.00"
"Luminosity Gaming","Split",2,3,22,37,"37.00",38,21,"64.00"
"E-Xolos LAZER","Split",0,1,4,8,"33.00",4,5,"44.00"
"PAMPAS","Bind",0,1,4,8,"33.00",0,5,"0.00"
"CERBERUS Esports","Split",0,1,0,10,"0.00",9,3,"75.00"
"Oasis Gaming","Bind",0,1,1,8,"11.00",7,5,"58.00"
"LDN UTD","Ascent",1,2,17,14,"55.00",8,22,"27.00"
"Sentinels","Bind",3,4,29,48,"38.00",37,26,"59.00"
"Evil Geniuses","Split",1,2,15,21,"42.00",20,16,"56.00"
"Shopify Rebellion","Breeze",0,1,1,8,"11.00",7,5,"58.00"
"Rex Regum Qeon","Ascent",0,1,9,5,"64.00",4,10,"29.00"
"100 Thieves","Breeze",5,6,58,57,"50.00",71,63,"53.00"
"Sharks Esports","Haven",0,1,5,6,"45.00",5,7,"42.00"
"Crest Gaming ZST","Ascent",1,2,17,14,"55.00",13,18,"42.00"
"SYSTEM e-Sports","Breeze",0,1,1,3,"25.00",2,10,"17.00"
"FOKUS","Split",0,1,2,6,"25.00",5,7,"42.00"
"Jadeite","Haven",1,2,7,16,"30.00",14,16,"47.00"
"Mariner","Haven",0,1,0,1,"0.00",0,12,"0.00"
"9z Team","Breeze",1,2,6,15,"29.00",16,20,"44.00"
"ややーず","Split",0,1,7,5,"58.00",4,8,"33.00"
"FAV gaming","Fracture",0,1,2,5,"29.00",4,8,"33.00"
"Evil Geniuses","Ascent",2,3,24,30,"44.00",29,37,"44.00"
"Next eSports","Bind",0,1,4,7,"36.00",6,6,"50.00"
"Onic Esports","Split",0,1,3,7,"30.00",6,6,"50.00"
"EVA:e","Split",0,1,3,7,"30.00",6,6,"50.00"
"Gambit Esports","Fracture",0,1,9,7,"56.00",6,10,"38.00"
"Team Vikings","Bind",0,1,2,10,"17.00",1,3,"25.00"
"SuperMassive","Bind",0,1,0,5,"0.00",4,8,"33.00"
"Stars Horizon","Breeze",0,1,0,4,"0.00",3,9,"25.00"
"Bonkers(OCE)","Breeze",0,1,2,10,"17.00",1,3,"25.00"
"Maru Gaming","Fracture",5,6,50,58,"46.00",67,53,"56.00"
"EDward Gaming","Bind",0,1,4,8,"33.00",1,5,"17.00"
"TRIDENT","Fracture",0,1,2,8,"20.00",7,5,"58.00"
"Griffin E-Sports","Bind",1,2,18,15,"55.00",13,19,"41.00"
"Rise","Bind",1,2,14,19,"42.00",15,17,"47.00"
"Rebellion Arts","Ascent",0,1,7,5,"58.00",2,8,"20.00"
"Reignite","Split",0,1,2,10,"17.00",3,3,"50.00"
"XSET","Fracture",3,4,28,46,"38.00",39,38,"51.00"
"Focus e-Sports","Icebox",0,1,5,7,"42.00",2,6,"25.00"
"GyoGun","Fracture",0,1,1,4,"20.00",3,9,"25.00"
"OG LDN UTD","Split",0,1,4,9,"31.00",8,5,"62.00"
"K2 eSports","Icebox",0,1,6,6,"50.00",0,7,"0.00"
"Rise","Breeze",0,1,3,4,"43.00",3,9,"25.00"
"Team Vikings","Haven",0,1,4,8,"33.00",3,5,"38.00"
"FUSION","Ascent",1,2,18,13,"58.00",12,24,"33.00"
"SunXet Club","Icebox",0,2,10,14,"42.00",5,12,"29.00"
"FUSION","Fracture",0,2,11,13,"46.00",4,13,"24.00"
"Tartarus","Bind",0,2,5,10,"33.00",8,16,"33.00"
"Bleed Esports","Icebox",2,4,40,35,"53.00",28,37,"43.00"
"Knights","Bind",1,3,16,19,"46.00",17,28,"38.00"
"Liberty","Split",1,3,21,30,"41.00",24,23,"51.00"
"Shopify Rebellion","Fracture",0,2,17,15,"53.00",13,19,"41.00"
"TSM","Breeze",0,2,8,16,"33.00",14,12,"54.00"
"Liberty","Bind",1,3,18,22,"45.00",15,20,"43.00"
"BIG","Ascent",1,3,18,28,"39.00",20,20,"50.00"
"Bleed Esports","Fracture",0,2,7,17,"29.00",2,9,"18.00"
"Sentinels","Haven",3,5,47,46,"51.00",39,48,"45.00"
"FunPlus Phoenix","Pearl",0,2,5,15,"25.00",13,11,"54.00"
"SuperMassive","Split",0,2,5,13,"28.00",11,13,"46.00"
"GoNGo Prince","Breeze",0,2,9,14,"39.00",5,12,"29.00"
"Alter Ego","Ascent",0,2,10,17,"37.00",10,12,"45.00"
"Gamelanders Blue","Split",2,4,32,44,"42.00",38,32,"54.00"
"INGAMING Esports","Ascent",0,2,11,8,"58.00",4,18,"18.00"
"South Built Esports","Breeze",0,2,14,9,"61.00",4,17,"19.00"
"Team T5","Bind",2,4,23,31,"43.00",27,34,"44.00"
"Paper Rex","Breeze",1,3,28,21,"57.00",17,24,"41.00"
"No Namers","Haven",0,2,3,16,"16.00",4,10,"29.00"
"Luminosity Gaming","Haven",0,2,2,4,"33.00",2,22,"8.00"
"LDN UTD","Split",0,2,5,17,"23.00",15,9,"63.00"
"Jadeite","Icebox",1,3,25,14,"64.00",17,32,"35.00"
"G2 Esports (Inactive)","Fracture",1,3,21,25,"46.00",21,26,"45.00"
"PAMPAS","Ascent",1,3,11,20,"35.00",18,21,"46.00"
"Los Grandes","Bind",0,2,9,12,"43.00",6,14,"30.00"
"Spear Gaming","Bind",2,4,30,35,"46.00",24,36,"40.00"
"Crest Gaming ZST","Breeze",0,2,9,16,"36.00",12,11,"52.00"
"Made in Thailand","Icebox",0,2,11,12,"48.00",10,14,"42.00"
"BBL Esports","Ascent",2,4,33,24,"58.00",30,40,"43.00"
"On Sla2ers","Icebox",2,4,33,39,"46.00",22,24,"48.00"
"BIG","Breeze",0,2,9,12,"43.00",3,14,"18.00"
"IXA","Haven",0,2,5,15,"25.00",13,12,"52.00"
"Desperado","Bind",2,4,37,34,"52.00",25,35,"42.00"
"BBL Esports","Split",1,3,24,22,"52.00",12,24,"33.00"
"SuperMassive","Ascent",0,2,11,14,"44.00",5,13,"28.00"
"REJECT","Bind",3,5,42,33,"56.00",37,46,"45.00"
"E-Xolos LAZER","Icebox",0,2,10,14,"42.00",9,12,"43.00"
"Crest Gaming ZST","Icebox",0,2,8,11,"42.00",9,19,"32.00"
"Natus Vincere","Fracture",0,2,10,9,"53.00",7,17,"29.00"
"Meta Gaming","Ascent",1,3,15,34,"31.00",18,17,"51.00"
"9z Team","Split",1,3,13,20,"39.00",13,28,"32.00"
"TBK Esports","Haven",3,5,52,43,"55.00",40,43,"48.00"
"NRG Esports","Icebox",3,5,41,57,"42.00",46,43,"52.00"
"XERXIA Esports","Fracture",2,4,32,35,"48.00",23,34,"40.00"
"Spear Gaming","Split",1,3,19,27,"41.00",19,21,"48.00"
"Fancy United Esports","Split",0,2,6,15,"29.00",5,11,"31.00"
"BBL Esports","Breeze",0,2,6,13,"32.00",5,13,"28.00"
"FNATIC","Pearl",0,2,9,15,"38.00",9,11,"45.00"
"Velocity Gaming","Haven",0,2,13,12,"52.00",5,15,"25.00"
"On Sla2ers","Fracture",1,3,23,23,"50.00",13,24,"35.00"
"XERXIA Esports","Haven",6,8,86,55,"61.00",50,74,"40.00"
"Ninjas in Pyjamas","Breeze",4,6,52,58,"47.00",53,56,"49.00"
"CERBERUS Esports","Bind",1,3,11,17,"39.00",19,29,"40.00"
"PAMPAS","Haven",1,3,20,28,"42.00",24,22,"52.00"
"Made in Thailand","Breeze",1,3,19,25,"43.00",14,21,"40.00"
"KRÜ Esports","Fracture",2,4,27,29,"48.00",30,35,"46.00"
"OpTic Gaming","Icebox",5,7,63,63,"50.00",60,73,"45.00"
"BBL Esports","Fracture",1,3,26,24,"52.00",19,24,"44.00"
"FOKUS","Breeze",0,2,11,13,"46.00",7,13,"35.00"
"SCARZ","Ascent",0,2,5,14,"26.00",12,12,"50.00"
"Acend","Haven",1,3,14,21,"40.00",20,21,"49.00"
"Luminosity Gaming","Breeze",2,4,24,42,"36.00",40,38,"51.00"
"Oblivion Force","Ascent",0,2,9,15,"38.00",11,11,"50.00"
"Desperado","Haven",2,4,26,35,"43.00",33,34,"49.00"
"FW Esports","Haven",0,2,12,12,"50.00",6,14,"30.00"
"Desperado","Breeze",0,2,4,12,"25.00",8,14,"36.00"
"Spear Gaming","Breeze",1,3,24,24,"50.00",20,20,"50.00"
"Gamelanders Blue","Haven",1,3,15,22,"41.00",24,25,"49.00"
"FURIA","Haven",2,4,35,39,"47.00",30,36,"45.00"
"Gamelanders Blue","Icebox",1,3,24,24,"50.00",12,26,"32.00"
"TBK Esports","Breeze",2,4,27,36,"43.00",31,36,"46.00"
"ORDER","Haven",0,2,10,11,"48.00",7,15,"32.00"
"Made in Thailand","Haven",2,4,38,34,"53.00",34,39,"47.00"
"Fancy United Esports","Fracture",0,2,7,17,"29.00",5,9,"36.00"
"FOKUS","Icebox",0,2,6,16,"27.00",14,10,"58.00"
"HolyMolly","Fracture",0,2,14,11,"56.00",4,16,"20.00"
"FaZe Clan","Split",1,3,13,33,"28.00",31,18,"63.00"
"CNJ Esports","Ascent",2,4,30,43,"41.00",38,28,"58.00"
"Gamelanders Blue","Bind",0,2,11,13,"46.00",5,13,"28.00"
"BOOM Esports","Bind",2,4,24,42,"36.00",30,28,"52.00"
"Oblivion Force","Icebox",0,2,10,11,"48.00",9,15,"38.00"
"Natus Vincere","Icebox",2,4,30,45,"40.00",32,28,"53.00"
"Tartarus","Haven",0,2,7,17,"29.00",6,9,"40.00"
"Gamelanders Blue","Fracture",0,2,11,15,"42.00",4,13,"24.00"
"Natus Vincere","Split",0,3,18,20,"47.00",17,22,"44.00"
"SuperMassive","Icebox",0,3,18,22,"45.00",18,23,"44.00"
"Team T5","Haven",1,4,14,30,"32.00",24,29,"45.00"
"Los Grandes","Breeze",0,3,5,13,"28.00",10,26,"28.00"
"Reignite","Haven",0,3,17,19,"47.00",10,20,"33.00"
"CNJ Esports","Breeze",1,4,17,31,"35.00",23,27,"46.00"
"Rise","Fracture",0,3,11,16,"41.00",13,23,"36.00"
"On Sla2ers","Split",1,4,20,26,"43.00",24,33,"42.00"
"M3 Champions","Icebox",2,5,37,39,"49.00",44,47,"48.00"
"Fancy United Esports","Haven",1,4,19,33,"37.00",21,27,"44.00"
"TBK Esports","Ascent",3,6,39,63,"38.00",59,43,"58.00"
"The Guard","Split",2,5,24,53,"31.00",40,34,"54.00"
"FNATIC","Ascent",5,8,59,71,"45.00",84,70,"55.00"
"Spear Gaming","Fracture",1,4,18,28,"39.00",16,30,"35.00"
"EBRO Gaming","Haven",0,3,16,20,"44.00",7,19,"27.00"
"FAV gaming","Split",0,3,14,20,"41.00",13,20,"39.00"
"OG LDN UTD","Bind",0,3,4,18,"18.00",15,21,"42.00"
"9z Team","Bind",2,5,33,28,"54.00",24,50,"32.00"
"CERBERUS Esports","Ascent",0,3,7,29,"19.00",11,10,"52.00"
"Fancy United Esports","Ascent",0,3,16,25,"39.00",18,19,"49.00"
"Luminosity Gaming","Ascent",0,3,10,20,"33.00",11,19,"37.00"
"FUSION","Icebox",0,3,12,24,"33.00",4,15,"21.00"
"BIG","Split",1,4,12,39,"24.00",29,23,"56.00"
"Team Vikings","Ascent",0,3,6,23,"21.00",5,16,"24.00"
"9z Team","Ascent",3,6,33,45,"42.00",42,53,"44.00"
"ZETA DIVISION","Ascent",1,4,16,28,"36.00",27,33,"45.00"
"HolyMolly","Bind",1,4,17,22,"44.00",16,38,"30.00"
"Onic Esports","Bind",0,3,12,21,"36.00",18,18,"50.00"
"Ninjas in Pyjamas","Bind",0,3,9,17,"35.00",11,22,"33.00"
"Maru Gaming","Haven",3,7,53,47,"53.00",46,69,"40.00"
"FaZe Clan","Icebox",2,6,48,53,"48.00",45,53,"46.00"
"Natus Vincere","Breeze",0,4,17,24,"41.00",18,28,"39.00"
"NRG Esports","Bind",2,6,27,42,"39.00",41,50,"45.00"
"SunXet Club","Breeze",0,4,9,28,"24.00",22,24,"48.00"
"E-Xolos LAZER","Bind",1,5,22,42,"34.00",40,37,"52.00"
"CNJ Esports","Split",0,4,22,25,"47.00",15,27,"36.00"
"G2 Esports (Inactive)","Ascent",2,6,39,48,"45.00",33,51,"39.00"
"Evil Geniuses","Breeze",2,6,32,57,"36.00",53,40,"57.00"
"Tartarus","Breeze",0,4,8,20,"29.00",16,32,"33.00"
"Sentinels","Icebox",0,4,15,22,"41.00",18,32,"36.00"
"HolyMolly","Ascent",1,5,21,38,"36.00",19,39,"33.00"
"Evil Geniuses","Haven",0,4,16,17,"48.00",13,36,"27.00"
"Guild Esports","Bind",1,6,35,46,"43.00",24,45,"35.00"
"Acend","Breeze",0,5,21,31,"40.00",24,37,"39.00"
"BIG","Haven",0,5,11,33,"25.00",24,32,"43.00"
"Movistar Optix","Haven",1,6,29,50,"37.00",30,40,"43.00"
"World Game Star","Breeze",1,6,26,38,"41.00",29,47,"38.00"
"World Game Star","Ascent",1,7,17,46,"27.00",41,55,"43.00"
"Sentinels","Ascent",0,6,19,41,"32.00",35,39,"47.00"
"Team Liquid","Bind",2,8,43,52,"45.00",51,69,"43.00"